example_id,customer_message,actual_intent,nearest_reference_intent,similarity_score,nearest_reference_message
1,@AmazonHelp how can you refund back to an account that doesn't exist?!,REFUND,INSUFFICIENT_CONTEXT,0.156,@AmazonHelp How long I have to wait??
2,"@AmazonHelp Current status is On the Way, last location was last night @ 9:16pm at Royal Mail’s National Distribution Centre  : - https://t.co/YY2XiWaC6V",DELIVERY_DELAY,SELLER,0.0942,@AmazonHelp https://t.co/HICb3FSFFT
3,@AmazonHelp The package was left at the house next door that is unoccupied. The driver gave it to a contractor working at the house. Had the seller not returned today who knows when i would have received it. That is unacceptable in my opinion and as a Prime member even more so.,DELIVERY_PROBLEM,DELIVERY_PROBLEM,0.1059,"@AmazonHelp About the 5th time we got a ""attempted delivery"" notification at the end of a day/shift when it clearly/definitely was not the case"
4,"@AmazonHelp Ben oui...plusieurs fois 
Sans résultats",PACKAGE_NOT_RECEIVED,RETURN,0.0382,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?
5,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,DELIVERY_INSTRUCTIONS,DELIVERY_PROBLEM,0.101,"@AmazonHelp Shows as ""In Transit: Delivery attempted"", but also says it tried to deliver to a business address, but I don't live at a business address?"
6,@AmazonHelp Yes I have? Nobody left a card or anything. There wasn’t anyone home and you’ve put the status as “delivered to resident” ?? Where is my order?,PACKAGE_NOT_RECEIVED,DELIVERY_TRACKING,0.1296,@AmazonHelp Still don’t have any clue on the status of my order placed 27 days back. What is stopping you to update atleast a status on when and where ?
7,@AmazonHelp Contacted... They have been giving false assurances and unhelpful,CUSTOMER_SERVICE,ORDER_CANCELLATION,0.0763,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
8,@AmazonHelp Ye the 24 of Dec with a 3-4 days shipping ... No problems 😁,DELIVERY_TRACKING,DELIVERY_TRACKING,0.0725,"@AmazonHelp 3 DAYS, NOT A SINGLE UPDATE OF THE STATUS OF MY ORDER. WHAT THE FUCK IS THIS?"
9,@AmazonHelp USPS,DELIVERY_TRACKING,DELIVERY_TRACKING,0.186,@AmazonHelp Supposed to arrive tomorrow by 8pm via USPS.
10,"@AmazonHelp Spoke to customer services who told me it would be here by 9pm. It's now passed 9pm and still no sign. 2 days overdue now. Wtf are you playing at Amazon, yet again? Where can I put an official complaint in?",DELIVERY_DELAY,DELIVERY_DELAY,0.1076,"@AmazonHelp I ordered a package 11/22 using prime. It was lost/delayed. The initial delay was not an issue. However I need it 12/1. I called today for a way to fix the situation. A replacement was shipped and I was told it would be here 12/1. However, it now scheduled to arrive 12/2."
11,"@AmazonHelp It's out for delivery as of 12:03, the carrier is you guys. I work from home and need lunch but I'd rather not miss the package. 

I'll risk it.",DELIVERY_TRACKING,RESOLUTION_CONFIRMATION,0.1119,@AmazonHelp Hi ya. Not to worry found the answer on your website. It is back out for delivery today. Thanks
12,@AmazonHelp Thank you.,RESOLUTION_CONFIRMATION,CASUAL_ENGAGEMENT,1.0,@AmazonHelp thank you!
13,@AmazonHelp When it’s suppose to get here this week and I need it this week the money is already gone and idk if my order is coming or not,DELIVERY_DELAY,OTHER,0.0984,@AmazonHelp I want to buy 'the four hour work week' but it is beyond my budget.;)
14,"@AmazonHelp Alors je dois pas être doué, mais je clique où pour faire une réclamation sur l'article en question ? https://t.co/nYF5QD3Fxe",CUSTOMER_SERVICE,RETURN,0.2285,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?
15,"@AmazonHelp merci beaucoup, appel passé, problème résolu, merci de votre patience !",RESOLUTION_CONFIRMATION,DELIVERY_TRACKING,0.0882,"@AmazonHelp Bonsoir, merci pour votre réponse ! Écoutez, justement, impossible de trouver où que ce soit le nom du livreur, mais j'imagine que c'est GLS"
16,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,ORDER_CANCELLATION,FEEDBACK,0.0531,"@AmazonHelp Ok now that just sounds dumb. Not just that I don't get the product I want, but you get less money than you would."
17,@AmazonHelp Issue is resolved and item is being redelivered,PACKAGE_NOT_RECEIVED,PRODUCT_INFORMATION,0.0922,@AmazonHelp @115850 the issue is of not the refund im asking how can you sell such fake products i want a new and original product at my doorstep
18,@AmazonHelp My account is on the NL site.,ACCOUNT,PAYMENT,0.105,@AmazonHelp __email__ this is my account through which i paid for 1 ticket using ampay but amount was deducted for two tickets....
19,"@AmazonHelp es vendido por un externo de amazon, pero es enviado por ustedes.
de igual forma el producto decia que estaba en stock, y se supone que ya lo hayan enviado.. Porfavor ayudarme, he tenido el mismo problema con ustedes siempre, nunca envian los productos a la fecha prometida.",ORDER_DISPATCH,DELIVERY_DELAY,0.1508,"@AmazonHelp Necesito que el producto llegue en la fecha original, 27-10. Gracias."
20,"@AmazonHelp No, ordered yesterday (10/26), expected shipping date is November 7th, it’s in stock, so that kinda defeats the purpose of prime shipping",DELIVERY_DELAY,DELIVERY_DELAY,0.1253,@AmazonHelp I ordered something yesterday and I do have prime and the item was eligible for prime shipping but it says it won’t be here until the 10th
21,@AmazonHelp Did that. Got same response and I'm asked to follow the same steps which I have been doing since 21st September. That's ridiculous!,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.0893,@AmazonHelp Same standard reply. So now I again have to go thru the same exercise again for what? Classic case study of inefficient and pathetic business operations
22,@AmazonHelp Surely will do. If you just send over a #firestick 😂,DEVICE,CASUAL_ENGAGEMENT,0.079,@AmazonHelp Ok will get back to you in sometime if that's ok with you ??
23,@AmazonHelp It was from .co.uk thank you,RETURN,CASUAL_ENGAGEMENT,0.3403,@AmazonHelp thank you!
24,@AmazonHelp OUI. Via lappli Amazon mobile... Ca va durer longtemps le jeu de se renvoyer la balle la ?,CUSTOMER_SERVICE,PACKAGE_NOT_RECEIVED,0.0598,@AmazonHelp Je n'ai ni l'un ni l'autre mais la notification amazon que le colis est livré
25,@AmazonHelp 35 minutes and still waiting. That's not good customer service is it?  Being lied to and then lied to again....,CUSTOMER_SERVICE,ACCOUNT,0.0747,@AmazonHelp It’s not letting me log in for some reason. Where does the link take me? Customer service?
