conversation_id,customer_tweet_id,customer_message,support_response,intent,notes
332355,332354,@AmazonHelp how can you refund back to an account that doesn't exist?!,@195143 The bank of the original card you used will be able to better direct you on how to receive a refund from a closed account. ^AC,,
1743695,1743691,"@AmazonHelp Current status is On the Way, last location was last night @ 9:16pm at Royal Mail’s National Distribution Centre  : - https://t.co/YY2XiWaC6V",@525933 Thank you for sharing this with us! So sorry there was a delay. Let us know if you haven't received your order by the new date. ^KJ,,
2379804,2379803,@AmazonHelp The package was left at the house next door that is unoccupied. The driver gave it to a contractor working at the house. Had the seller not returned today who knows when i would have received it. That is unacceptable in my opinion and as a Prime member even more so.,@686229 I understand your concern. Will you tell us who the carrier is? They will be listed here: https://t.co/Y5jpI9gRhE We'd be happy to help in any way possible. ^SK,,
253988,253987,"@AmazonHelp Ben oui...plusieurs fois 
Sans résultats",@176374 L'information sera remontée pour éviter que cela se reproduise. Sinon avez-vous pu récupéré votre colis finalement ? ^MH,,
2662844,2662842,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,"@177092 Sorry to hear that, what were you advised when you contacted us? ^JJ",,
2848992,2848989,@AmazonHelp Yes I have? Nobody left a card or anything. There wasn’t anyone home and you’ve put the status as “delivered to resident” ?? Where is my order?,"@792275 I understand your frustration! To clarify, who is the carrier for this package: https://t.co/PCtircFm5C? ^SJ",,
781946,781945,@AmazonHelp Contacted... They have been giving false assurances and unhelpful,"@306675 Team can look into this and revert to you on high priority. Also, please don’t provide your order related details(2/3)^RS",,
545771,545766,@AmazonHelp Ye the 24 of Dec with a 3-4 days shipping ... No problems 😁,@246885 Is It about a Marketplace order or it is shipped by Amazon? ^ZC,,
373635,373637,@AmazonHelp USPS,@204539 I can certainly understand why you'd be upset. What does the most recent tracking information state? ^HC,,
2689356,2689358,"@AmazonHelp Spoke to customer services who told me it would be here by 9pm. It's now passed 9pm and still no sign. 2 days overdue now. Wtf are you playing at Amazon, yet again? Where can I put an official complaint in?",@756106 Oh no! I'm sorry you still don't have your item. Please reach out to us here: https://t.co/JzP7hlA23B Thanks! ^AJ,,
2474964,2474963,"@AmazonHelp It's out for delivery as of 12:03, the carrier is you guys. I work from home and need lunch but I'd rather not miss the package. 

I'll risk it.","@295550 Oh no! We don't have access to your account or it's details via Twitter, but we'd love to help! Please give us a call or chat here, https://t.co/JzP7hlA23B, so we can look into the delivery. ^TG",,
665401,665385,@AmazonHelp Thank you.,@278552 You're welcome. Glad to try to help. ^CR,,
2663787,2663765,@AmazonHelp When it’s suppose to get here this week and I need it this week the money is already gone and idk if my order is coming or not,"@750624 Sorry to hear that, were you sent emails from the account specialists? ^AS",,
2836872,2836868,"@AmazonHelp Alors je dois pas être doué, mais je clique où pour faire une réclamation sur l'article en question ? https://t.co/nYF5QD3Fxe",@789591 Vous pouvez joindre notre service client via ce lien: https://t.co/hgIrz98cdI ^BR,,
164882,164879,"@AmazonHelp merci beaucoup, appel passé, problème résolu, merci de votre patience !","@154216 J'en suis ravie, merci à vous surtout pour votre coopération.
^KE",,
728074,728072,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,"@294417 Apologies for the inconvenience, Maulik. Have you reported this to our support team here: https://t.co/vlvfJr4nN9. ^SF",,
1754278,1754277,@AmazonHelp Issue is resolved and item is being redelivered,"@398836 Thanks for letting us know, Dan! Please keep us in the loop and let us know when you receive the re-delivery! ^TG",,
179145,179141,@AmazonHelp My account is on the NL site.,@158237 Hi - pls use this for more info - and to contact us : https://t.co/JBCqzkP7tw  ^TD,,
888230,888221,"@AmazonHelp es vendido por un externo de amazon, pero es enviado por ustedes.
de igual forma el producto decia que estaba en stock, y se supone que ya lo hayan enviado.. Porfavor ayudarme, he tenido el mismo problema con ustedes siempre, nunca envian los productos a la fecha prometida.","@330901 Comprendemos, Cristian. Para lograr verificar mejor tu cuenta y lo que está sucediendo con el pedido, te recomendamos que contactes a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/eJXKURvpr8. ^AA",,
1334342,1334341,"@AmazonHelp No, ordered yesterday (10/26), expected shipping date is November 7th, it’s in stock, so that kinda defeats the purpose of prime shipping","@431274 Some items take a bit longer to process than others. Once your item ships, you can expect it within 2 days of that date. ^TK",,
1042200,1042202,@AmazonHelp Did that. Got same response and I'm asked to follow the same steps which I have been doing since 21st September. That's ridiculous!,@366431 Please revert on the same email for further assistance. ^AG,,
1266418,1266415,@AmazonHelp Surely will do. If you just send over a #firestick 😂,@416525 It's a pain we all face. 😆 Maybe it's time to upgrade? ^MS,,
1101924,1101923,@AmazonHelp It was from .co.uk thank you,@380009 Did you have a returns label printed or did you miss the 30 day return window? ^JJ,,
108106,108099,@AmazonHelp OUI. Via lappli Amazon mobile... Ca va durer longtemps le jeu de se renvoyer la balle la ?,"@139999 Avez-vous envoyé un email à notre service client, c'est ça ? ^SB",,
492135,492130,@AmazonHelp 35 minutes and still waiting. That's not good customer service is it?  Being lied to and then lied to again....,"@232300 Just to clarify, have you been on hold with the third-party seller for 35 minutes?  Rest assured that our team is here to help you resolve this situation as best we can! ^AZ",,
308911,308910,@AmazonHelp No delays. It just didn't ship until today. I ordered it on 10/4 and it was supposed to be here today.,"@189759 Typically, late shipments arrive the next business day. Please let us know if not received by Monday: https://t.co/EKXRLsnxJu ^BV",,
519751,519749,@AmazonHelp iOS. It worked a couple of weeks ago.,@229517 The feature is only available for Amazon Prime Now orders. ^LR,,
2526237,2526234,@AmazonHelp Vizio smart TV - there is an app but quality and crash rate are terrible. Functions also do not work with other remotes as most apps do,@719313 Have you tried the steps listed here: https://t.co/zWEJa7C5ya? ^JP,,
328442,328446,"@AmazonHelp Sorry, we live 200 miles apart and she is a 74 year old lady who is very upset by this.  Please can I speak to someone on the phone?",@194313 No problem! You can also use that link given to reach us by phone so we can discuss this fully with you. ^AH,,
812316,812314,"@AmazonHelp Si quito mis suscripción ahora, una vez hecho el pedido y a la espera de recibirlo, se aplica algún plus a mi pedido?gracias","@313568 Hola. ¿Has recibido un correo de confirmación del pedido?.

Te recordamos que el monto final de la compra es el que aparece en dicho correo y no se te hará ningún cargo adicional una vez recibido. 

^DB",,
845747,845739,@AmazonHelp Y can't you access my details while you can access my messages here?,@321026 We'll not be able to access your account details via Twitter. Kindly share the details via the link so that we can help.^BA,,
1916106,1916101,@AmazonHelp Your response only says we will reach out to you.,@126720 We have a record of your concern and working on it. It will be closed at the earliest. ^CB,,
158700,158699,"@AmazonHelp O status é em processamento. Eu achei estranho pois não pediu o meu código de verificação do meu cartão de crédito, apenas digitei o número do meu cartão e concluí o pedido. Por isso estou confuso se vai ser ou não debitado.","@152482 Entendi. Por favor, entre em contato com o nosso SAC, para eles conferirem o acontecido. Acesse este link: https://t.co/qGpkDwGRhX ^CR",,
774205,774213,@AmazonHelp @115821 @AmazonHelp @115850 customer care executives are behaving like Dons .. insisting me for refund ...pls reply,"@304954 We're working on this, Chetan. We'll reach out to you soon with an update. ^KC",,
1745422,1745421,@AmazonHelp You guys keep messing up my orders and driving me crazy.,@288407 We'd love to get to the bottom of this! Please follow this link to contact us: https://t.co/hApLpM3Ejd ^DG,,
2741810,2741809,@AmazonHelp Yes. Thank you. It will arrive tomorrow. Unfortunately too late for a trip I'm taking. Caught up in the Black Friday madness over the weekend I guess 🤔,@768039 Thank you so much for your patience with us! Keep us updated on the delivery! :) ^DY,,
77257,77259,@AmazonHelp It says the 2nd of December....2 days an still not dispatched yet it's been 5 days it didn't take this long when I ordered it off the American site,@117769 Some items may take longer to process and will require a later delivery estimate. Are these headphones in stock on our site? ^WM,,
665633,665607,@AmazonHelp Spoke to yr CS team who helped as much as poss although cld not change my Xbox OneX delivery address!  Still feel angry at being lied to tho,"@278566 I'm sorry to hear that, it's not what we want you to experience ^AS",,
896710,896709,@AmazonHelp After dealing w/this an hour I was hung up on by Mike. He refused to transfer me to someone in the US &amp; told me no one else will talk to me.,@332951 I am terribly sorry for the poor experience. A member of our team would like to look into this: https://t.co/LGCB7LXNSR ^FD,,
2318085,2318089,"@AmazonHelp ok, so I purchased a motinor which is defective and you guys considering it to be replaced rather than retrun which in turn I agree to order from amazon again buy not the same brand as box piece is defective, I want different brand option. Can you help me with this issue.",@672015 I understand your concern. I’d like to look into the issue and help you. Please fill this form: https://t.co/beaaDm0muc and we’ll contact you soon ^RI,,
384160,384177,@AmazonHelp I had dropped email pl check it,"@185376 As you've responded, we'll work on it and get back to you. ^HN",,
2438397,2438392,@AmazonHelp Pues dice vendido por InLife MX,"@699421 Hola, yo tu el. Muchas gracias por el dato, como el producto es vendido por InLifeMX lo mejor seria que contactes al vendedor desde la sección de pedidos, si gustas puedes usar este enlace: https://t.co/autytlt1j2

^CB",,
299623,299619,@AmazonHelp No according to my app it's still out for today. No explanation of a delay either. Why is it now 2 days late??,@187418 Please give us a ring here: https://t.co/JzP7hlRCV9 so we can take a look at this with you. ^TR,,
758385,758384,"@AmazonHelp Yes they were, I have private messaged you. You did this to a Harry Potter book. Be ashamed.",@301219 We have responded to the private message you've sent us. ^AL,,
1128676,1128675,@AmazonHelp Tomorrow. But that isn't the issue. Why would my package even leave IL if it's being shipped to an IL address?,"@367350 I understand, I'll pass on your feedback to our transportation team ^AS",,
20468,20458,@AmazonHelp I already replied,"@120469 Thanks for the update, we've received your reply to our correspondence. We'll get back to you at the earliest. ^SC",,
1328911,1328909,@AmazonHelp I sent this in yesterday on your site. Haven't heard anything yet. But I got 8 more emails from sellers this morning.,"@430052 Hey, Trevor! Let's look into this in real time. Please chat or call us here: https://t.co/1JGB1GNAF6 ^BA",,
2748293,2748291,@AmazonHelp It's very troubling you need me to go out of my way to write to you and tell you that he packaging can be improved upon. Is there not an evaluation team capable of identifying that?,"@769530 I can understand your frustration, however, we ship thousands of packages a day, some by automated process. We can't catch every error and that is why your feedback is so valuable. Please fill out the packaging feedback form provided to you. Thank you. ^SY",,
1570828,1570834,@AmazonHelp Still order not receive. it should deliver on 16 oct today is 18 oct. I call customer care they do not have any reason why it was delay,"@484388 Sorry to know that, if you've shared the details, you should've received an update here: https://t.co/deS2TU9Xfp ^MS",,
575968,575967,@AmazonHelp And note that's luggage. Luggage that was going to be used on Monday AM.,"@255523 Hello I understand your frustration, did you receive an email from us explaining why there is a delay? ^HS",,
109984,109980,@AmazonHelp Il c’est perdu ou pas ? https://t.co/Z50YYKFA1W,"@140412 L'accès aux détails de votre compte client étant impossible depuis Twitter, notre service client sera en mesure d'effectuer les vérifications requises dans ce sens ^KD",,
1477377,1477376,@AmazonHelp Clicked on link and it says can't find @146898 !!!!!  Hope that's not the case tomorrow,@463027 Try clearing your current browsers cache and cookies. Do you get the same results when using another device or browser? ^CL,,
1082197,1082203,"@AmazonHelp Sony Bravia 4K, Baujahr ende 2016","@375280 Ok, danke. Wende dich in diesem Fall bitte hier an die Spezialisten in unserem Kundenservice: https://t.co/ZgRj3SfxUw ^DS",,
1437433,1437437,@AmazonHelp There is no mail which I got from you today,@444190 That's unusual! Could you please check for our correspondence here: https://t.co/NTkrxpsbHJ ? ^AM,,
1453741,1453714,"@AmazonHelp jedes mal....
und auch nächstes mal 

Der Bote will einfach nicht 

wohne ja auch oberhalb der 10 Etage 

da hat er bestimmt Höhenangst....",@217027 Das ist dann natürlich doof. Aber wir versuchen es weiter :) ^AN,,
366935,366934,@AmazonHelp Yes it’s enabled,@202911 Hmm. Let's check this out in real time with you: https://t.co/hApLpMlfHN ^JZ,,
1416689,1416684,@AmazonHelp Livraison estimé le 16 oct,"@449257 Afin qu'on regarde cela de plus près et vous aider , veuillez nous contacter via le lien suivant: https://t.co/hgIrz98cdI ^BR",,
993254,993250,@AmazonHelp Continuosly getting same revert its more than a 1.5 month when i get my money back u told me on 8th of last mnth returning in 2-4 hours https://t.co/fD7GCOLmti,@158410 The resolution provided in the email is the best we could offer. Please reply to the email for any further queries. ^GS,,
421340,421332,"@AmazonHelp Normalement aujourd'hui, normalement.... mais je prends ce colis en exemple, Colisprive n'est pas un bon livreur, très souvent en retard","@215400 Veuillez nous tenir informé si vous n'avez pas reçu votre colis aujourd'hui, afin de prendre les mesures nécessaires.
^YL",,
686718,686715,@AmazonHelp they tried to deliver today but thats the same problem I had for two weeks that they only try to redeliver instead of bringing it to a post office or whatever because I'm not home before 5,"@283964 Can I ask, have you selected a safe place or selected a neighbor as a preference for you order? You can find more info on this by clicking on the following link:https://t.co/zqU1qsqluc ^GA",,
2673433,2673435,@AmazonHelp Thanks. I hv reported and discussed with CC exec. He promised me to resolve issue in next 2 hrs. Let’s see,@752643 That's great news. Keep us posted about the proceedings. ^HA,,
1699735,1699759,"@AmazonHelp Can't u access through order I'd ....??
Just looping around same point .
#lostfaith @115851","@515456 Twitter being a social media platform, we wouldn't be able to access your account details, Sumit. Request you to share your1/2^NK",,
637295,637287,@AmazonHelp Courier is going to be contacted and I've been told to allow 24 hours for a response which I will do because this is a christmas gift that cost a lot of money so I just want to know where it is!,"@271109 Please keep us updated on everything, and don't hesitate to contact us again if there's anything we can do to help out, Sophie! ^SA",,
661477,661479,"@AmazonHelp that's just it, I can't get a tracking number from your website.",@277609 We'd like to look into this further with you. At your nearest convenience please reach out to us here: https://t.co/CYqkdUakWJ ^GM,,
2604883,2604882,"@AmazonHelp Je l'ai signalé au service client de twitch ici https://t.co/hdO6UWZn1X.
Dois-je le signaler également au votre ?",@737041 Je vous de le signaler également à notre SAV via: https://t.co/hgIrz98cdI ^FT,,
2766382,2766377,"@AmazonHelp It never was given, not that I remember. I pre-ordered them, so I expected them to arrive closer to the release dates. But now it's been weeks since their release and still no dispatch.","@280569 If we haven't provided delivery dates, we'd still be waiting for the items to be stocked by the publisher, Irfon. Please keep an eye on your orders for when a delivery date is provided and keep us informed about this. ^PJ",,
694428,694427,@AmazonHelp ah. C’est embarrassant! Et que se passe-t-il si le livreur débarque &amp; qu’il n’y a personne pr réceptionner ? (Je serai au ministère à Bercy),"@285587 Dorénavant, je vous suggère de choisir un point relais proche de chez vous pour la livraison! ^FT",,
529930,529932,"@AmazonHelp Not sure which carrier it is, but last time I ordered a Christmas present a couple of years ago, (a kindle fire) my account got hacked and my wife was left with a kindle she couldn’t use, after I had to get yet another replacement.",@242722 Sorry to hear this. That is most unusual and not the kind of thing you should expect when you order from Amazon. If there is any issue with receiving the replacement please let us know.^BZ,,
734659,734671,"@AmazonHelp It wasn’t explained to me , 2-3 different reasons are being given to me.","@295775 As mentioned earlier, we'll not be able to provide price match for a new order. 1/2 ^MJ",,
1369960,1369957,@AmazonHelp But why aren't phones working?,@438881 That's unusual. You may email or chat with us using this link: https://t.co/TdDksLo6Mf and we'll look into this. ^MK,,
2618085,2618084,"@AmazonHelp I've contacted you guys about it multiple times this year. Roughly 10-12 times this year, I've been on the phone with you guys for this, and it keeps happening. Why am I paying $100 for prime 2 day shipping, if it's only actually shipped 2 days occasionally. It's infuriating.","@739890 Thank you for the information! Just to clarify, have we missed the expected delivery date given in the confirmation e-mail? You can find more information on Prime shipping here: https://t.co/pYRfoZtZ0T. ^AL",,
746802,746798,@AmazonHelp NEIN! 👎🏻,@194202 Melde dich mal direkt bei uns im Amazon.de Social Media Team: https://t.co/br7bhrlJn8 ^SK,,
2861992,2861988,@AmazonHelp Yes. Nothing helped. Next plz,"@784684 If it's been over 36 hours since it was marked as delivered, we can look into your available options and next steps with you here: https://t.co/hApLpMlfHN ^DW",,
