tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
867,British_Airways,False,Tue Oct 31 22:28:36 +0000 2017,"@115892 caused. We're unable to offer a complimentary upgrade, however we can quote an upgrade if you would like us to? ^Jane 2/2","868,869,870,871",872.0
873,British_Airways,False,Wed Nov 01 09:35:44 +0000 2017,"@115892 Please can you DM us your booking reference, email address and contact number? We can then look into this for you. Thanks. ^Jane",,868.0
875,British_Airways,False,Tue Oct 31 22:26:11 +0000 2017,@115893 email address and contact telephone number. We'll look into your complaint and contact you for an update 2/2. ^Oliver,876,877.0
880,British_Airways,False,Tue Oct 31 22:23:30 +0000 2017,@115894 email address and contact telephone number. We apologise for the delay in our response 2/2. ^Oliver,,881.0
883,British_Airways,False,Tue Oct 31 08:28:10 +0000 2017,"@115894 us your booking ref, email address and contact number. 2/2 ^Linda",881,884.0
886,British_Airways,False,Fri Oct 27 13:36:52 +0000 2017,Get the payday party started with 40 European Destinations for £40 each-way or less,"887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,884,964",
965,British_Airways,False,Tue Oct 31 22:23:02 +0000 2017,"@115895 Hi Sam, that is the correct email. ^Helen",,966.0
967,British_Airways,False,Tue Oct 31 22:20:23 +0000 2017,"@115896 Hi Sreejit, we have no info about this as yet. Please keep an eye online as this will be updated as soon as we know. ^Helen",968,969.0
970,British_Airways,False,Wed Nov 01 10:48:27 +0000 2017,"@115896 Thanks Sreejit, we would recommend checking on Manage My Booking for any updates. ^Jane",,968.0
971,British_Airways,False,Tue Oct 31 22:18:21 +0000 2017,"@115897 Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ^Helen","972,973",974.0
975,British_Airways,False,Wed Nov 01 12:39:06 +0000 2017,"@115897 Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. ^Sophie",976,973.0
978,British_Airways,False,Wed Nov 01 16:38:36 +0000 2017,"@115897 We'll check this for you, David. Can you provide us with the booking reference for the confirmation you have? Please send this via DM. ^R",,976.0
1881,British_Airways,False,Tue Oct 31 22:39:07 +0000 2017,"@116131 accept our apologies. We need to be fair to everyone who has unfortunately, also been disrupted 2/2. ^Oliver",,1882.0
1884,British_Airways,False,Tue Oct 31 22:34:50 +0000 2017,@116132 ask if you wish for any help or questions. We're here 24/7 and will respond as quickly as we can 2/2. ^Oliver,,1885.0
1888,British_Airways,False,Tue Oct 31 22:30:59 +0000 2017,"@116134 Hi Stephen, follow and DM us more info along with your mum's contact details. ^Helen",,1889.0
1890,British_Airways,False,Tue Oct 31 07:43:50 +0000 2017,@116134 Is your mother able to contact us directly? ^Davina 2/2,1889,1891.0
1893,British_Airways,False,Mon Oct 30 21:46:58 +0000 2017,@116134 We're disappointed to hear this Stephen. Is there something you would like our assistance with? ^Kit,1891,1894.0
2973,British_Airways,False,Tue Oct 31 22:59:19 +0000 2017,"@116396 Hi Maggie, we do advise our call charges online for when you need to contact us. ^Helen",2974,2975.0
2977,British_Airways,False,Thu Nov 02 03:32:12 +0000 2017,"@116396 We're sorry you feel this way, Maggie. All charges are available to view on our website, prior to calling us. ^Lisa",,2974.0
2981,British_Airways,False,Tue Oct 31 22:57:37 +0000 2017,@116398 recommend checking in at the airport. Sorry for the inconvenience this has caused. ^Jane 2/2,,2982.0
2984,British_Airways,False,Tue Oct 31 07:00:12 +0000 2017,"Double, double toil and trouble; look what we’ve seen from our #WindowSeat bubble. #HappyHalloween 🎃 https://t.co/8eS8tofYsT","2985,2986,2987,2988,2989,2982,2990,2991,2992,2993,2994,2995,2996,2997,2998,2999,3000,3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,3022,3023,3024",
3025,British_Airways,False,Tue Oct 31 22:56:23 +0000 2017,"@116399 Hi Diz, the Lima route is currently suspended for Winter 2017 from 29 Oct 2017 until 24 March 2018. ^Helen",3026,3027.0
3028,British_Airways,False,Wed Nov 01 10:54:49 +0000 2017,@116399 website when they have been finalised. 2/2^Corry,3030,3026.0
3031,British_Airways,False,Thu Nov 02 00:08:43 +0000 2017,@116399 We'll keep everything crossed for you! Happy holidays! ^Lisa,,3030.0
3029,British_Airways,False,Wed Nov 01 10:54:21 +0000 2017,"@116399 We can't confirm next winters plans at the moment, Diz. We always reviewing our schedules and we’ll update our 1/2",,3026.0
3032,British_Airways,False,Tue Oct 31 22:52:47 +0000 2017,"@116400 Hi, please contact our Lagos office on (+234) 70 94250 556 Monday to Friday Open 09:00-17:00
Saturday Open 10:00-14:00. ^Helen",,3033.0
3034,British_Airways,False,Tue Oct 31 22:51:41 +0000 2017,"@116401 Hi Prashanth, we have a lounge in Amsterdam called Lounge 40. ^Jane",3035,3036.0
3037,British_Airways,False,Tue Oct 31 22:47:36 +0000 2017,"@116402 We don't like to hear this, Julian. Our seat pitch is comparable to other airlines. ^Helen",,3038.0
3974,British_Airways,False,Tue Oct 31 23:14:27 +0000 2017,"@116663 We're concerned to hear this, Omar. Is there anything we can help you with? ^Jane",3975,3976.0
3977,British_Airways,False,Thu Nov 02 08:47:23 +0000 2017,@116663 contact telephone number. We'll look at it for you. Thanks. 2/2 ^Liz,,3975.0
3978,British_Airways,False,Thu Nov 02 08:46:39 +0000 2017,"@116663 Hi Omar. Please can you DM more information? Please include your booking reference, your full name, email address and 1/2",,3975.0
3979,British_Airways,False,Tue Oct 31 23:12:32 +0000 2017,"@116664 We're so sorry to hear this, Tracey. Have you managed to speak to our BA Holidays team? ^Jane",3980,3981.0
3982,British_Airways,False,Wed Nov 01 09:54:23 +0000 2017,"@116664 Unfortunately we're unable to help you with BA Holidays bookings, Tracey. We're sorry to disappoint you. ^Jane",3983,3980.0
