annotation_id,tweet_id,customer_message,suggested_intent,annotation_status,final_intent,review_notes
1,99791,@AmazonHelp @AmazonHelp your team doing totally farud with us we are seller if our account was suspend then why your team not giving any support or guide us. You charging a big amount commission and also doing farud,SELLER,weak_label,,
2,982300,@115850 @AmazonHelp whenever I try to contact customer service by Amazon app it says they are unable to find my order @115851 #pathetic,WEBSITE_OR_APP,weak_label,,
3,134858,@AmazonHelp Why should I be the one chasing this parcel anyway? You as a company promised this parcel yesterday. According to the tracking info it was attempted yesterday but I was home all day waiting for it.,DELIVERY_TRACKING,weak_label,,
4,207557,@AmazonHelp how does amazon give next day delivery if the seller is from china?,SELLER,weak_label,,
5,16473,@AmazonHelp i didnt do anything wrong.. then why doing some wierd things like that? why???,,unlabelled,,
6,16877,@AmazonHelp @119704  https://t.co/rUjHdeMm9G,,unlabelled,,
7,95372,@AmazonHelp I already got to chat with one of your reps. Is there a way for me to get a refund without having to ship the LENS CAPS back to the US? Thanks,REFUND,weak_label,,
8,15443,@AmazonHelp I will just a bit frustrating that’s all considering it was on amazon prime,,unlabelled,,
9,1121304,"@AmazonHelp Yes, I have filled the form, further twice the amount was deducted, and I tried from 3 different cards, again it’s showing payment failed.",PAYMENT,weak_label,,
10,42553,@AmazonHelp I don't think the package is damaged.Rather carrier communication issue. Why else the changing stories ?found out about return from email.,RETURN,weak_label,,
11,398726,@AmazonHelp Yeah one was a back order. I expected that but the others were shipped and charged and withdrawn from my account and now were charged again,PAYMENT,weak_label,,
12,1030294,"@115850 didn't receive cashback for Order ID: #402-2114609-1385952, 
Please check @AmazonHelp",PACKAGE_NOT_RECEIVED,weak_label,,
13,835815,"@AmazonHelp i did shopping of 3817 between 4 to 8 october, but i have not received cashback for all orders, why you people fooling customers",PACKAGE_NOT_RECEIVED,weak_label,,
14,99777,"@AmazonHelp you guys literally have no idea how to process a return. Every time I call, it's like I'm teaching a new lesson to a new person. ????",RETURN,weak_label,,
15,18729,@AmazonHelp  https://t.co/LzRfyE5m3q,,unlabelled,,
16,12544,@AmazonHelp Can you please update over this quickly,,unlabelled,,
17,1739900,@AmazonHelp Thank you that link was very helpful. Im actually trying to connect my echo to a bt router which is listed as a problem atm.,DEVICE,weak_label,,
18,5328,@AmazonHelp Trying to place an order this happened before and deleting and rentering my address fixed it but now it's across multiple prime accounts to the same address,,unlabelled,,
19,101809,@AmazonHelp Ordered on Tuesday evening for guaranteed Thursday delivery. Now delayed until 4 Dec at latest apparently.,DELIVERY_DELAY,weak_label,,
20,536601,"@AmazonHelp Can I make an Amazon smile purchase on the Amazon app? If so, how? Thanks.",WEBSITE_OR_APP,weak_label,,
21,18177,@115850 @AmazonHelp Does you app have a feedback option “product not delivered” ?,,unlabelled,,
22,238785,@AmazonHelp Such a same for you!! You event can't track order!! America m kaise serve kr lete ho bhai,DELIVERY_TRACKING,weak_label,,
23,128815,"@AmazonHelp No, I am not having any problem with waiting but I am having problems with your service. Amazon's service could be so bad that it wasn't thought. Amazon was the most different for its delivery but now it has been to give just the assurance. Thks 4 answering going to cancel order",ORDER_CANCELLATION,weak_label,,
24,3728,@AmazonHelp All of them,,unlabelled,,
25,18944,"@AmazonHelp I know that... But nobody is gonna do anything wrong with my order id.
So provide a proper resolution.",,unlabelled,,
26,430015,"@AmazonHelp @115850 It says I have to wait for another 24-48 hours. I can't. I'm leaving the city tomorrow. If you can't have it delivered today, please change the delivery address for the same.",DELIVERY_INSTRUCTIONS,weak_label,,
27,13164,"@AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !",,unlabelled,,
28,180922,"@AmazonHelp All customer care can reply is ""its a seller issue"", ""i will escalate your matter"" but no avail . 6-7 chat n phonecalls made no difference",SELLER,weak_label,,
29,127397,@AmazonHelp No one ready to hear. Each and every time you cannot satsify your customers by saying that we will take action against seller. You have to deliver my order else I will move to consumer forum,SELLER,weak_label,,
30,676141,@AmazonHelp This isn't really acceptable when I pay for express delivery by 1pm why was it not left a the safe place or with a neighbour?,DELIVERY_INSTRUCTIONS,weak_label,,
31,23218,"@AmazonHelp I was told my account is on hold, if I can’t use my gift cards please return my money back to me Okay",RETURN,weak_label,,
32,2130878,"@AmazonHelp my recent order has been put on hold, and my account locked. The email says to log into my account but it's locked. So how might one do what you've asked? https://t.co/kC0EsFY9Y9",ACCOUNT,weak_label,,
33,21482,@AmazonHelp @120261 But Amazon seller service we found pathetic response. After chasing 3-4times in a day from 23rd Oct to till today. Still NO resolution.,SELLER,weak_label,,
34,18383,@AmazonHelp Placed the order on 30th October and I am getting it on 2nd November,,unlabelled,,
35,2176730,"@AmazonHelp I have a new Kindle Oasis, with Audible. I've bought an Audible book, but it won't download to the Kindle. Kindle team says it's Audible's problem, Audible says it's Kindle's. I asked for an email address for complaints. Wrote the complaint, the email bounced back. Really cross.",DEVICE,weak_label,,
36,14853,@AmazonHelp no body inform me. once u return that parcel. please send the tracking id or parcel details. but after 10days i call amazon custamare care,,unlabelled,,
37,91287,"@AmazonHelp Yes, reported every one of the above. Multiple times &amp;requested a reason for 'failed to deliver'. Had 2 products re-ordered twice, but most just get a 'refund' notice- no further action, usually a week or two later after being PROMISED it will be delivered 24-48 hours later...",REFUND,weak_label,,
38,52933,"@AmazonHelp There is no option there, just says my refund has been issued as i requested - i did not request a refund!",REFUND,weak_label,,
39,3732,@AmazonHelp I can’t log in because it’s locked.,,unlabelled,,
40,155117,@AmazonHelp Update: I'm still waiting @AmazonHelp. Where is my parcel? https://t.co/vuVWDm9tN1,DELIVERY_TRACKING,weak_label,,
41,348673,@AmazonHelp where is my product are you looting customers for order no 406-3971997-7415546 not received till now i had paid,DELIVERY_TRACKING,weak_label,,
42,281920,@AmazonHelp @115821 One of the products is now also late. No one cares. This was a $1000 order. I am going to vastly decrease my amazon shopping,DELIVERY_DELAY,weak_label,,
43,16837,@AmazonHelp No updates even after 2 weeks....poor n shame on Amazon...#JeffBezos https://t.co/L7ZGVDnJA9,,unlabelled,,
44,348800,@AmazonHelp Amazon has decided not to deliver my product on time. A week late than expected delivery YOLO,DELIVERY_DELAY,weak_label,,
45,30506,@AmazonHelp don't believe this. After having to cancel last order &amp; reorder for Amazon locker you've done exact same and sent from (cont),ORDER_CANCELLATION,weak_label,,
46,868061,"@AmazonHelp No I have not, can you change the delivery address please?",DELIVERY_INSTRUCTIONS,weak_label,,
47,12494,@AmazonHelp I already emailed y’all.,,unlabelled,,
48,40377,"@AmazonHelp really ticked, order wont ship. 200$ worth of stuff not being shipped. Can you please help me?",ORDER_DISPATCH,weak_label,,
49,15272,@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,REFUND,weak_label,,
50,19441,@AmazonHelp Ok thank for helping.,,unlabelled,,
51,18146,@AmazonHelp Have shared the details in the above linked which was shared by u. Need early resolution from u.,,unlabelled,,
52,1215400,@AmazonHelp I have instructions to deliver to a neighbour and there is no safe place.,DELIVERY_INSTRUCTIONS,weak_label,,
53,16885,"@AmazonHelp I am getting any mails nor any calls from u.
If not able to solve let me know...I ll uninstall Amazon n share my feedback with others too",,unlabelled,,
54,1160651,"20 minutes later, couldn't download #Kindle version on Amazon App or Kindle App on iPhone nor iPad. WTF @AmazonHelp? Not from sample, either https://t.co/FOR1quoOsf",WEBSITE_OR_APP,weak_label,,
55,16419,"@AmazonHelp It says it's at the warehouse now, but I got a notice stating they would attempt another delivery",,unlabelled,,
56,930201,@AmazonHelp I was contacted again today at noon and for the 3rd time I had to reconfirm the new delivery instruction. #amazon please can you #centralize your #customerservice #information ?,DELIVERY_INSTRUCTIONS,weak_label,,
57,73630,"@AmazonHelp Hi there!
Can't do so - neglected to mention I'm a Seller and not a regular customer. Well, I'm both. But this was for the Seller side.
I understand the 2 halves of Amazon are separate like that so a normal customer procedure wouldn't work.",SELLER,weak_label,,
58,64173,@AmazonHelp  i ordered bluetooth speaker worth 1799/-INR and got a prime membership of worth 459/-INR  i cancelled both bluetooth speaker and prime  membership.So they initiated my refund but unfortunately i haven't  received it yet.I also call to help center but prblm remainsame https://t.co/GEAsFcCmnG,REFUND,weak_label,,
59,132487,"@AmazonHelp Today you put a deal on and then no stock, rang up customer service she told me to buy from another seller! Some staff you lot employ!",SELLER,weak_label,,
60,425055,@AmazonHelp Package didn’t arrive yesterday either. Now 3 days late and no update on tracking. Seems lost in transit. Unbelievable,DELIVERY_DELAY,weak_label,,
61,3748,"@AmazonHelp Many times, but still failing, and it happen with some show",,unlabelled,,
62,17644,@AmazonHelp Did you guys do anything?,,unlabelled,,
63,109935,@AmazonHelp y u guys cancelled my order 407-0880525-1284313 without any intimation.,ORDER_CANCELLATION,weak_label,,
64,199227,"@AmazonHelp @115850 Death "".So if i brought product considering Amazon as service delivery agent, what do i do, if your seller is fraud or you both are selling",SELLER,weak_label,,
65,74641,"@AmazonHelp Plz check now i have updated again and my refund/ replace date is 2 dec, then is this possible solved the issue before? https://t.co/m6rGVf7JBq",REFUND,weak_label,,
66,124004,"@AmazonHelp The thing is - I don’t have access to the email address my amazon account was linked to, the address was desactivated. So there’s nothing I can do from my end. Thats why I don’t understand why i was debited for a membership for an account suspended by you guys!",ACCOUNT,weak_label,,
67,1479715,@AmazonHelp I’ve not received anything can I not message you the order number to see what’s going on?,PACKAGE_NOT_RECEIVED,weak_label,,
68,395987,@AmazonHelp I placed a very important book order for collage weeks ago. Where is my book?? Can't wait for November - you kidding me? https://t.co/JgA4GHLllH,DELIVERY_TRACKING,weak_label,,
69,65722,@AmazonHelp Well I didn’t authorise it either so where exactly did it come from? I am in the process of returning it now.,RETURN,weak_label,,
70,8526,@AmazonHelp Well it says arriving today but honestly I know that’s fake as looked last four days and it’s still the same then https://t.co/3T23E69GE0,,unlabelled,,
71,17652,@AmazonHelp Collect product at my home address will pay him courier charges. Hope u help your valuable customers.?,,unlabelled,,
72,264761,@AmazonHelp Tracking ID 211176371119 . Status- Delivery Attempted!! supposed to get the item yesterday!! Very Disappointed!! No Agent info!!,DELIVERY_TRACKING,weak_label,,
73,1053501,@AmazonHelp time I place an order on an international Amazon website.,WEBSITE_OR_APP,weak_label,,
74,46537,@AmazonHelp I thought returning it to an actual amazon store meant that it would eliminate the problem of items getting lost in the mail,RETURN,weak_label,,
75,352131,@AmazonHelp I ordered on Amazon app. What is copy link. I dont get it,WEBSITE_OR_APP,weak_label,,
76,225016,@AmazonHelp To cancel the order .. is the way customers are treated,ORDER_CANCELLATION,weak_label,,
77,351862,@AmazonHelp That link is taking me to Amazon app what to do please call 9768155978,WEBSITE_OR_APP,weak_label,,
78,93507,@AmazonHelp Indeed I tried my two regular delivery addresses. I can set the future delivery for either address when setting up a new order but cannot edit anything after the fact (such as ordering a subscribed item immediately),DELIVERY_INSTRUCTIONS,weak_label,,
79,288626,"@115850 @AmazonHelp I'm a prime member and placed order for prime fulfilled product on 21st Nov. Forget quick delivery, it is not yet dispatched. ORDER # 404-1465394-9701149. https://t.co/BjArOZaiiC",ORDER_DISPATCH,weak_label,,
80,16829,@AmazonHelp My guaranteed delivery date was Monday.,,unlabelled,,
