example_id,customer_message,actual_intent,predicted_intent,correct
1,@AmazonHelp how can you refund back to an account that doesn't exist?!,REFUND,ACCOUNT,False
2,"@AmazonHelp Current status is On the Way, last location was last night @ 9:16pm at Royal Mail’s National Distribution Centre  : - https://t.co/YY2XiWaC6V",DELIVERY_DELAY,DELIVERY_TRACKING,False
3,@AmazonHelp The package was left at the house next door that is unoccupied. The driver gave it to a contractor working at the house. Had the seller not returned today who knows when i would have received it. That is unacceptable in my opinion and as a Prime member even more so.,DELIVERY_PROBLEM,DELIVERY_PROBLEM,True
4,"@AmazonHelp Ben oui...plusieurs fois 
Sans résultats",PACKAGE_NOT_RECEIVED,INSUFFICIENT_CONTEXT,False
5,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,DELIVERY_INSTRUCTIONS,DELIVERY_INSTRUCTIONS,True
6,@AmazonHelp Yes I have? Nobody left a card or anything. There wasn’t anyone home and you’ve put the status as “delivered to resident” ?? Where is my order?,PACKAGE_NOT_RECEIVED,PACKAGE_NOT_RECEIVED,True
7,@AmazonHelp Contacted... They have been giving false assurances and unhelpful,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
8,@AmazonHelp Ye the 24 of Dec with a 3-4 days shipping ... No problems 😁,DELIVERY_TRACKING,DELIVERY_TRACKING,True
9,@AmazonHelp USPS,DELIVERY_TRACKING,DELIVERY_TRACKING,True
10,"@AmazonHelp Spoke to customer services who told me it would be here by 9pm. It's now passed 9pm and still no sign. 2 days overdue now. Wtf are you playing at Amazon, yet again? Where can I put an official complaint in?",DELIVERY_DELAY,DELIVERY_DELAY,True
11,"@AmazonHelp It's out for delivery as of 12:03, the carrier is you guys. I work from home and need lunch but I'd rather not miss the package. 

I'll risk it.",DELIVERY_TRACKING,DELIVERY_TRACKING,True
12,@AmazonHelp Thank you.,RESOLUTION_CONFIRMATION,CASUAL_ENGAGEMENT,False
13,@AmazonHelp When it’s suppose to get here this week and I need it this week the money is already gone and idk if my order is coming or not,DELIVERY_DELAY,DELIVERY_DELAY,True
14,"@AmazonHelp Alors je dois pas être doué, mais je clique où pour faire une réclamation sur l'article en question ? https://t.co/nYF5QD3Fxe",CUSTOMER_SERVICE,REFUND,False
15,"@AmazonHelp merci beaucoup, appel passé, problème résolu, merci de votre patience !",RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,True
16,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,ORDER_CANCELLATION,ORDER_CANCELLATION,True
17,@AmazonHelp Issue is resolved and item is being redelivered,PACKAGE_NOT_RECEIVED,RESOLUTION_CONFIRMATION,False
18,@AmazonHelp My account is on the NL site.,ACCOUNT,ACCOUNT,True
19,"@AmazonHelp es vendido por un externo de amazon, pero es enviado por ustedes.
de igual forma el producto decia que estaba en stock, y se supone que ya lo hayan enviado.. Porfavor ayudarme, he tenido el mismo problema con ustedes siempre, nunca envian los productos a la fecha prometida.",ORDER_DISPATCH,DELIVERY_DELAY,False
20,"@AmazonHelp No, ordered yesterday (10/26), expected shipping date is November 7th, it’s in stock, so that kinda defeats the purpose of prime shipping",DELIVERY_DELAY,DELIVERY_DELAY,True
21,@AmazonHelp Did that. Got same response and I'm asked to follow the same steps which I have been doing since 21st September. That's ridiculous!,CUSTOMER_SERVICE,ACCOUNT,False
22,@AmazonHelp Surely will do. If you just send over a #firestick 😂,DEVICE,DEVICE,True
23,@AmazonHelp It was from .co.uk thank you,RETURN,OTHER,False
24,@AmazonHelp OUI. Via lappli Amazon mobile... Ca va durer longtemps le jeu de se renvoyer la balle la ?,CUSTOMER_SERVICE,PRODUCT_INFORMATION,False
25,@AmazonHelp 35 minutes and still waiting. That's not good customer service is it?  Being lied to and then lied to again....,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
26,@AmazonHelp No delays. It just didn't ship until today. I ordered it on 10/4 and it was supposed to be here today.,ORDER_DISPATCH,ORDER_DISPATCH,True
27,@AmazonHelp iOS. It worked a couple of weeks ago.,DEVICE,DEVICE,True
28,@AmazonHelp Vizio smart TV - there is an app but quality and crash rate are terrible. Functions also do not work with other remotes as most apps do,DEVICE,DEVICE,True
29,"@AmazonHelp Sorry, we live 200 miles apart and she is a 74 year old lady who is very upset by this.  Please can I speak to someone on the phone?",CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
30,"@AmazonHelp Si quito mis suscripción ahora, una vez hecho el pedido y a la espera de recibirlo, se aplica algún plus a mi pedido?gracias",OTHER,INSUFFICIENT_CONTEXT,False
31,@AmazonHelp Y can't you access my details while you can access my messages here?,ACCOUNT,ACCOUNT,True
32,@AmazonHelp Your response only says we will reach out to you.,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
33,"@AmazonHelp O status é em processamento. Eu achei estranho pois não pediu o meu código de verificação do meu cartão de crédito, apenas digitei o número do meu cartão e concluí o pedido. Por isso estou confuso se vai ser ou não debitado.",PAYMENT,PAYMENT,True
34,@AmazonHelp @115821 @AmazonHelp @115850 customer care executives are behaving like Dons .. insisting me for refund ...pls reply,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
35,@AmazonHelp You guys keep messing up my orders and driving me crazy.,OTHER,DELIVERY_PROBLEM,False
36,@AmazonHelp Yes. Thank you. It will arrive tomorrow. Unfortunately too late for a trip I'm taking. Caught up in the Black Friday madness over the weekend I guess 🤔,DELIVERY_DELAY,DELIVERY_DELAY,True
37,@AmazonHelp It says the 2nd of December....2 days an still not dispatched yet it's been 5 days it didn't take this long when I ordered it off the American site,ORDER_DISPATCH,ORDER_DISPATCH,True
38,@AmazonHelp Spoke to yr CS team who helped as much as poss although cld not change my Xbox OneX delivery address!  Still feel angry at being lied to tho,DELIVERY_INSTRUCTIONS,DELIVERY_INSTRUCTIONS,True
39,@AmazonHelp After dealing w/this an hour I was hung up on by Mike. He refused to transfer me to someone in the US &amp; told me no one else will talk to me.,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
40,"@AmazonHelp ok, so I purchased a motinor which is defective and you guys considering it to be replaced rather than retrun which in turn I agree to order from amazon again buy not the same brand as box piece is defective, I want different brand option. Can you help me with this issue.",OTHER,PRODUCT_INFORMATION,False
41,@AmazonHelp I had dropped email pl check it,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True
42,@AmazonHelp Pues dice vendido por InLife MX,SELLER,SELLER,True
43,@AmazonHelp No according to my app it's still out for today. No explanation of a delay either. Why is it now 2 days late??,DELIVERY_DELAY,DELIVERY_DELAY,True
44,"@AmazonHelp Yes they were, I have private messaged you. You did this to a Harry Potter book. Be ashamed.",CUSTOMER_SERVICE,ACCOUNT,False
45,@AmazonHelp Tomorrow. But that isn't the issue. Why would my package even leave IL if it's being shipped to an IL address?,DELIVERY_PROBLEM,DELIVERY_PROBLEM,True
46,@AmazonHelp I already replied,CUSTOMER_SERVICE,INSUFFICIENT_CONTEXT,False
47,@AmazonHelp I sent this in yesterday on your site. Haven't heard anything yet. But I got 8 more emails from sellers this morning.,CUSTOMER_SERVICE,ORDER_CANCELLATION,False
48,@AmazonHelp It's very troubling you need me to go out of my way to write to you and tell you that he packaging can be improved upon. Is there not an evaluation team capable of identifying that?,OTHER,FEEDBACK,False
49,@AmazonHelp Still order not receive. it should deliver on 16 oct today is 18 oct. I call customer care they do not have any reason why it was delay,DELIVERY_DELAY,DELIVERY_DELAY,True
50,@AmazonHelp And note that's luggage. Luggage that was going to be used on Monday AM.,DELIVERY_DELAY,PRODUCT_INFORMATION,False
51,@AmazonHelp Il c’est perdu ou pas ? https://t.co/Z50YYKFA1W,PACKAGE_NOT_RECEIVED,PACKAGE_NOT_RECEIVED,True
52,@AmazonHelp Clicked on link and it says can't find @146898 !!!!!  Hope that's not the case tomorrow,WEBSITE_OR_APP,INSUFFICIENT_CONTEXT,False
53,"@AmazonHelp Sony Bravia 4K, Baujahr ende 2016",DEVICE,DEVICE,True
