example_id,customer_message,intent,generated_reply,decision,reason
96,@AmazonHelp It doesn’t state a courier.. https://t.co/Qq79zAQlqY,DELIVERY_TRACKING,"I understand you're having trouble finding the courier information. If you can provide more details about the courier, we can try contacting them for you.",AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
16,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,ORDER_CANCELLATION,I understand you're upset about the cancellation of your order. We will ensure to handle such situations with the utmost care and respect.,ESCALATE,Intent 'ORDER_CANCELLATION' may require account access or support action.
31,@AmazonHelp Y can't you access my details while you can access my messages here?,ACCOUNT,"I understand your concern. Please provide the details you mentioned previously, and we will review them as soon as possible.",ESCALATE,Intent 'ACCOUNT' may require account access or support action.
159,"@AmazonHelp わかりますが、同じ表品を2セットで別はやっぱり嫌です…
開けると「入るやん」って思ってしまいますし…
でも、わざわざありがとうございます😊",FEEDBACK,ありがとうございます。お手数をおかけしましたが、今後ともご信任いただければ幸いです。,AUTO_HANDLE,Intent 'FEEDBACK' can usually be handled without private account action.
129,@AmazonHelp Is there a way to find out if my package has been lost? There hasn’t been an update on it since early Sunday.,PACKAGE_NOT_RECEIVED,I understand you're concerned about your package. We can look into this further for you. Please contact us here so that we can explore options together.,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
116,@AmazonHelp I was promised a replacement before tomorrow early morning.Bt I don't see any updates on that. https://t.co/fBwzdFFCGb,OTHER,I understand you're concerned about the status of your replacement order. Please provide your order number so we can check the current status for you.,ESCALATE,Intent 'OTHER' may require account access or support action.
70,@AmazonHelp But why aren't phones working?,DEVICE,Are you able to log into your Amazon account through a computer or do you get the same error message there?,ESCALATE,Intent 'DEVICE' may require account access or support action.
171,@AmazonHelp i did..no one called,CUSTOMER_SERVICE,I understand you haven't heard back from us. Could you please check if you received any email from us?,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
175,@AmazonHelp I used @145869 and it’s showing the seller to be https://t.co/eFW8uDgHVP LLC,SELLER,I understand the concern about the seller being listed as LLC. Have you tried contacting the seller to inquire about the delivery status?,ESCALATE,Intent 'SELLER' may require account access or support action.
46,@AmazonHelp I already replied,CUSTOMER_SERVICE,"I understand you've replied multiple times. Please keep us updated, and we will assist you further.",ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
67,@AmazonHelp ah. C’est embarrassant! Et que se passe-t-il si le livreur débarque &amp; qu’il n’y a personne pr réceptionner ? (Je serai au ministère à Bercy),DELIVERY_INSTRUCTIONS,"Je comprends votre situation. Si le livreur ne peut pas vous livrer à votre lieu de travail, pouvez-vous nous indiquer un autre point de livraison ou une autre adresse où vous pourriez recevoir votre colis ?",AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
183,@AmazonHelp Both by sellers. One of the items has now changed and is due to be delivered today. The other still says waiting to be dispatched. Why does it matter if it's an Amazon item or a different seller?,ORDER_DISPATCH,"I understand your concern. If one item is on its way today, it's possible the other item is still in transit or awaiting dispatch. Please keep us updated if you need further assistance.",ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
166,"@AmazonHelp Tomorrow (19/10). Still says ""Preparing for Dispatch"", can't believe will be delivered on time if it hasn't been dispatched yet",ORDER_DISPATCH,"I understand your concern. Please keep us updated, and we'll take a closer look at your order.",ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
79,@AmazonHelp *n'ai rien dit la a force ..... j'en ai marre de payer pour rien 😔,PAYMENT,Je comprends que vous êtes frustré par cette situation. Pourriez-vous me dire quel transporteur prend en charge votre commande ?,ESCALATE,Intent 'PAYMENT' may require account access or support action.
187,"@AmazonHelp Thanks, I finally found the call option on the website and talk to a rep.",CUSTOMER_SERVICE,We're still here if you need to reach out again! Let us know how your conversation goes.,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
178,"@AmazonHelp read tweet carefully and then reply ,package is in my city since early Thursday morning yet no sign of it getting delivered before Saturday😠",DELIVERY_DELAY,I understand your concern. Could you please check if you have set a safe place for the parcel to be left if there is no one in?,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
57,@AmazonHelp Livraison estimé le 16 oct,DELIVERY_TRACKING,Tenez-nous au courant s'il vous plaît. Votre nouvelle date de livraison est estimée pour le 16 octobre.,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
153,@AmazonHelp Nope! 18-20th. Not acceptable,DELIVERY_TRACKING,I understand your concern. Could you please share your order details so we can look into this further?,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
83,@AmazonHelp It was marked as delivered at 12.27 yesterday afternoon.I have phoned your customer service twice and I'm always told the same thing.That it's been marked as delivered and they will investigate.But this is happening time and time again.,PACKAGE_NOT_RECEIVED,I understand you're experiencing ongoing issues with your order being marked as delivered despite it not arriving. Let's keep this issue updated and let's see if we can find a resolution together.,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
69,"@AmazonHelp It wasn’t explained to me , 2-3 different reasons are being given to me.",OTHER,I understand you're still unsure about the reason for the packaging. Let's try reaching out via phone or chat so we can look further into this.,ESCALATE,Intent 'OTHER' may require account access or support action.
