tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
980,comcastcares,False,Tue Oct 31 22:27:52 +0000 2017,@115898 I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. -SLM,981,982.0
983,comcastcares,False,Tue Oct 31 22:27:28 +0000 2017,"@115899 address, and phone number so I can assist further with this issue. Thanks! -KW",984,985.0
986,comcastcares,False,Tue Oct 31 22:27:24 +0000 2017,"@115899 Hi, I'll be happy to look into the text you received and see what I can do to help. Please send a DM with your full name,",,985.0
987,comcastcares,False,Tue Oct 31 22:20:16 +0000 2017,"@115901 Hello, have you checked your scheduled menu? You may have a series recording scheduled. - Matt",988,989.0
990,comcastcares,False,Tue Oct 31 22:35:30 +0000 2017,@115901 If you set a recording for a sports team it will try to record it on any available network. - Matt,991,988.0
992,comcastcares,False,Tue Oct 31 23:18:58 +0000 2017,@115901 We can certainly share your feedback moving forward as we're always looking to improve the customer experience. -DSC,,991.0
993,comcastcares,False,Tue Oct 31 22:15:50 +0000 2017,@115903 and send us a Direct Message with your account information so that I can see what's going on. –XG,,994.0
1895,comcastcares,False,Tue Oct 31 22:43:03 +0000 2017,"@116135 Hello, I'm sorry to see that you fee this way and I'm happy to help! Can you please DM the full address? ~AT",,1896.0
1897,comcastcares,False,Tue Oct 31 22:42:59 +0000 2017,"@116137 Hello, I will be happy to help you. Please DM so we can further assist you, thank you. -DP",1898,1899.0
1900,comcastcares,False,Wed Nov 01 00:19:30 +0000 2017,"@116137 My apologies about that, please send us a Direct Message  so we can look into that for you. -DP",,1898.0
1901,comcastcares,False,Tue Oct 31 22:42:19 +0000 2017,"@116138 Hello, let me look into that for you. Please DM your account information so we can research this further, thank you. -DP",,1902.0
1904,comcastcares,False,Tue Oct 31 22:41:46 +0000 2017,"@116139 Hello, thanks for reaching out about your new service concerns and I'm happy to help. Can you please DM the full address? ~AT",,1905.0
1906,comcastcares,False,Tue Oct 31 22:32:18 +0000 2017,"@116140 I promise we don't you to feel that way. Please, DM me the information requested above so I can help you with this.-JC",,1907.0
1909,comcastcares,False,Thu Oct 26 23:20:32 +0000 2017,@116140 Hello there! I would like to take a look into your billing issues for you! Can you please send a DM with your fir... https://t.co/mx7zIru1QO,1907,1910.0
1912,comcastcares,False,Tue Oct 31 22:29:48 +0000 2017,@116141 and the phone number associated with your account so I can look into this issue further. Thanks! -KW,,1913.0
