conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response
1270963,1270965,1270966,"@AmazonHelp El problema está en que me han timado, la máscara que ha llegado es como esta que venden también en Amazon, más barata y sin engaños https://t.co/vAvYyksJh4","@417575 Entiendo, te recomiendo contactar al vendedor para verificar que opciones tiene disponibles para solucionar tu caso. ^AZ"
383325,383324,383350,"@AmazonHelp Unfortunately your customer representative didn't solve my request.
#NotAGreatIndianSale 😑😐
cc: @115850 @115821",@192047 https://t.co/wYQI1Vgn8S so that we can get in touch with you. (2/2) ^VM
1546662,1546666,1546671,@AmazonHelp Within the hour that was at 8.30 - 9.30 being generous over a few minutes !,@478937 Sorry for this experience. If you can complete the form: https://t.co/tkLCr7Vo9T someone from our team will be in touch. ^PK
74740,74697,74698,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?,"@132727 Vous devez mettre la raison exacte du retour.
^MD"
1089814,1089813,1089815,"@AmazonHelp Ok now that just sounds dumb. Not just that I don't get the product I want, but you get less money than you would.",@377114 I get your concern. I'll be sure to forward your feedback internally. ^PS
2236238,2236234,2236233,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8,@652172 Thank you for the information! Please contact us via phone or chat at the following link so we can look into this further with you!  https://t.co/JzP7hlA23B ^MW
2852178,2852174,2852173,@AmazonHelp Tracking claims left in secure location.,"@252282 I understand! We'd like to look into this more with you. When you have the time, please provide us with some additional information here: https://t.co/ElaoVVLxJX and a member of our team can help. ^TK"
234785,275555,275556,"@AmazonHelp Le site Web n'est pas utile. Alors, au lieu de vous aider à envoyer un email et j'espère que quelque chose se passe?","@171906 Ne vous inquiétez pas, nos collaborateurs au SAV veilleront à vous aider et vous proposer une solution ! ^AR"
2935912,2935910,2935908,@AmazonHelp It says it won’t ship until the earliest Dec 14 and may not arrive until after Christmas! Point is they CAN ship sooner but only to those who pay $200 more!,"@810908 Sorry to hear that you've had a negative experience. We don't have access to your account over Twitter, if you reach out via: https://t.co/hApLpMlfHN we can see if there are any options available to you. ^TI"
2467932,2467930,2467929,"@AmazonHelp Shows as ""In Transit: Delivery attempted"", but also says it tried to deliver to a business address, but I don't live at a business address?",@706115 Who is the carrier on the order? ^JF
2941999,2941998,2942000,@AmazonHelp Did you even read my tweet? 🤦‍♀️,@170806 I think the previous representative may have read that incorrectly! Whoops! ^GS
962223,962222,962224,@AmazonHelp Oct 19 and says it's in the carrier facility.  @3375 lost my package and won't call me back. I've wasted 2 hours on hold.,"@348328 Have you had a chance to reach out to us directly? If so, what information were we able to provide? ^AC"
1275074,1275078,1275079,"@AmazonHelp Thanks a lot to prompt action.I WS nt tense abt my items,instaed the comment that ws raised by courier.Anyway all is done
Happy Divali team.",@393288 We will forward the feedback to the concerned team and get it reviewed. Thank you and same to you. ^HR
1095322,1095321,1095323,@AmazonHelp Nothin https://t.co/SCocv50yHl,"@378474 Have you used ""check out with https://t.co/nUUp5MLhYl"" on another retail website? ^MJ"
1899816,1899815,1899817,"@AmazonHelp Sorry, forgot to mention. I do not use seller central. I am a local seller. selling books only in Mumbai.","@158381 Kindly contact us using the link provided earlier, so that we will be able to assist. ^JS"
1288877,1288869,1288870,@AmazonHelp Je devais être livré jeudi dernier. Commande Prime. Cadeau pour anniv. @120533  prisonnier de @120535 Remboursez moi.,"@421447 Vu que je n'ai pas accès à votre compte via Twitter, je vous invite à remplir ce formulaire svp : https://t.co/HtUowg2UGX 1/2"
1120348,1120347,1120349,@AmazonHelp No se recoge el paquete q he tenido q llevar a correos. No se hace abono. Llevo 3 semanas con esto. Inadmisible,"@384324 Pablo, entra en contacto con Soporte al Cliente para que puedan verificar tu caso: https://t.co/OjvUxwnzPe. ^DA"
1248264,1248277,1248278,@AmazonHelp I ordered something yesterday and I do have prime and the item was eligible for prime shipping but it says it won’t be here until the 10th,"@412871 Hi Denise, has the delivery date been changed or is this the date from the order confirmation email? ^AT"
1711417,1711406,1711408,@AmazonHelp Por Amazon y además me contestaron premium-libros un correo ¿MePueden ayudar?,"@518428 Tania, te recomendamos contactar a nuestro Servicio de Atención al Cliente, por favor, ingresa a: https://t.co/beR78zMMYB ^HC"
631588,631587,631586,@AmazonHelp I’ll definitely be calling later  👍🏻 this has been happening for months and they said they canceled it,@269679 We're always here to help! :) ^AZ
179589,179586,179584,@AmazonHelp I had already done that. But your team said they had investigated &amp; could not help further.,@158299 Request you to reply to our correspondence sent to your email ID so that we could look into this. ^GS
