example_id,customer_message,actual_intent,predicted_intent,top_match_intent,intent_match,top_similarity
1,@AmazonHelp how can you refund back to an account that doesn't exist?!,REFUND,REFUND,REFUND,True,0.8207972049713135
2,"@AmazonHelp Current status is On the Way, last location was last night @ 9:16pm at Royal Mail’s National Distribution Centre  : - https://t.co/YY2XiWaC6V",DELIVERY_DELAY,DELIVERY_TRACKING,DELIVERY_TRACKING,False,0.7639046311378479
3,@AmazonHelp The package was left at the house next door that is unoccupied. The driver gave it to a contractor working at the house. Had the seller not returned today who knows when i would have received it. That is unacceptable in my opinion and as a Prime member even more so.,DELIVERY_PROBLEM,PACKAGE_NOT_RECEIVED,PACKAGE_NOT_RECEIVED,False,0.8215475678443909
4,"@AmazonHelp Ben oui...plusieurs fois 
Sans résultats",PACKAGE_NOT_RECEIVED,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.9267120361328125
5,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,DELIVERY_INSTRUCTIONS,DELIVERY_INSTRUCTIONS,ACCOUNT,False,0.8235705494880676
6,@AmazonHelp Yes I have? Nobody left a card or anything. There wasn’t anyone home and you’ve put the status as “delivered to resident” ?? Where is my order?,PACKAGE_NOT_RECEIVED,DELIVERY_TRACKING,DELIVERY_TRACKING,False,0.7919105291366577
7,@AmazonHelp Contacted... They have been giving false assurances and unhelpful,CUSTOMER_SERVICE,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True,0.78287273645401
8,@AmazonHelp Ye the 24 of Dec with a 3-4 days shipping ... No problems 😁,DELIVERY_TRACKING,DELIVERY_TRACKING,DELIVERY_TRACKING,True,0.8139591813087463
9,@AmazonHelp USPS,DELIVERY_TRACKING,DELIVERY_NOT_RECEIVED,DELIVERY_TRACKING,True,0.8417662978172302
10,"@AmazonHelp Spoke to customer services who told me it would be here by 9pm. It's now passed 9pm and still no sign. 2 days overdue now. Wtf are you playing at Amazon, yet again? Where can I put an official complaint in?",DELIVERY_DELAY,DELIVERY_DELAY,DELIVERY_DELAY,True,0.8375874161720276
11,"@AmazonHelp It's out for delivery as of 12:03, the carrier is you guys. I work from home and need lunch but I'd rather not miss the package. 

I'll risk it.",DELIVERY_TRACKING,DELIVERY_TRACKING,DELIVERY_TRACKING,True,0.7801065444946289
12,@AmazonHelp Thank you.,RESOLUTION_CONFIRMATION,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.8379682898521423
13,@AmazonHelp When it’s suppose to get here this week and I need it this week the money is already gone and idk if my order is coming or not,DELIVERY_DELAY,ORDER_DISPATCH,ORDER_DISPATCH,False,0.7563957571983337
14,"@AmazonHelp Alors je dois pas être doué, mais je clique où pour faire une réclamation sur l'article en question ? https://t.co/nYF5QD3Fxe",CUSTOMER_SERVICE,RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,False,0.650854229927063
15,"@AmazonHelp merci beaucoup, appel passé, problème résolu, merci de votre patience !",RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,True,0.7150160670280457
16,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,ORDER_CANCELLATION,PAYMENT,PAYMENT,False,0.8201632499694824
17,@AmazonHelp Issue is resolved and item is being redelivered,PACKAGE_NOT_RECEIVED,RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,False,0.8355975151062012
18,@AmazonHelp My account is on the NL site.,ACCOUNT,ACCOUNT,ACCOUNT,True,0.7171967625617981
19,"@AmazonHelp es vendido por un externo de amazon, pero es enviado por ustedes.
de igual forma el producto decia que estaba en stock, y se supone que ya lo hayan enviado.. Porfavor ayudarme, he tenido el mismo problema con ustedes siempre, nunca envian los productos a la fecha prometida.",ORDER_DISPATCH,SELLER,SELLER,False,0.8780306577682495
