intent,tweet_id,text
delivery_delay,634,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡
delivery_delay,664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge"
delivery_delay,672,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!"
delivery_delay,686,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!
delivery_delay,695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.
delivery_delay,1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away."
delivery_delay,2555,@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays
delivery_delay,2556,"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show."
delivery_delay,2591,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back
delivery_delay,3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830"
delivery_delay,4956,@AmazonHelp I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.
delivery_delay,4957,"I swear Amazon are trying to annoy me, I've just ordered another package and had a shipped to wrong carrier facility message again and my order may be delayed. 1st echo dot and then 3 packages lost and now another echo dot possibly delayed."
delivery_delay,5124,Amazon delivery guy refused to give the police his ID and suddenly started sounding like an attorney. Good grief
delivery_delay,5125,I was just assaulted by an Amazon delivery person.
delivery_delay,5122,@AmazonHelp You could ask the other Amazon Delivery driver who was there (and then slinked away when I called the police). I didn't get his name. You should require IDs
delivery_delay,6963,"@AmazonHelp Thank you. Spoke with customer service who was very nice &amp; helpful &amp; put me straight through to a Competent logistics person who documented issue, researched my acct &amp; was going to contact delivery Svc directly to ensure procedures followed. Time will tell. Thank you."
delivery_delay,6966,@115821 So for the 4th time the package I ordered was tossed onto my property instead of being left on my front porch. It was raining. Package wet. I’ve complained repeatedly to no avail. Since Amazon switched from USPS to local delivery Svc the SERVICE is terrible.
delivery_delay,8529,@AmazonHelp Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/
delivery_delay,8532,@AmazonHelp The last update was on 22nd Oct saying it’s out for delivery.....you can’t tell me it take a over two weeks to deliver https://t.co/iB2HaSBOqk
delivery_delay,9137,@AmazonHelp Had a package scheduled for delivery today and it didn’t come I’m not happy
delivery_delay,9780,@AmazonHelp I've returned several things lately and don't want Amazon to think I'm abusing the return policy.
delivery_delay,9816,@AmazonHelp you it is late but It is fine I just thought it was hilarious
delivery_delay,9819,@AmazonHelp if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for.
delivery_delay,9821,@AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2
delivery_delay,10633,@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.
delivery_delay,10636,"@AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though."
delivery_delay,10634,How does amazon have late shipping? Multi billion dollar company @115821
delivery_delay,10665,@AmazonHelp Hi is there a way to confirm that I make sure my pre-order of @115766 WWII gets here on time? Last year was day late.
delivery_delay,11046,@AmazonHelp at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd
delivery_delay,11048,"@AmazonHelp Thanks, I called. The agent says the order has been received, but not shipped. Still anticipate a Friday delivery"
tracking_problem,646,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
tracking_problem,2544,@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.
tracking_problem,4866,"@AmazonHelp Amazon's tracking says it's ""Shipped &amp; Arriving Today by 8pm"" but UPS Tracking shows just that a label is created."
tracking_problem,5128,"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller."
tracking_problem,10637,"@AmazonHelp The tracking indicated as here, and then, it seemed to go back in time, saying it was not here anymore. I believe it's USPS"
tracking_problem,11605,"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000"
