conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response,customer_created_at,support_created_at,customer_length,support_length
277105,277104,277106,@AmazonHelp I ordered something through prime and now it’s going to be almost a week. And yet it says order by today to receive in 2 days?,@182214 Were you given any reason for the delay? ^KM,2017-10-14 14:01:14+00:00,2017-10-14 14:07:00+00:00,138,52
1603300,1603295,1603301,@AmazonHelp Keeps getting worse. Is there someone @115821 that can fix this?,@492049 Hi Brett. What were you advised while on the phone? ^DC,2017-11-05 07:53:55+00:00,2017-11-05 07:58:00+00:00,76,63
1616458,1616457,1616459,@AmazonHelp Have already contacted the customer care.. Glad that he's taken time for tomorrow.. let's see  if they show up tomorrow morning.,@139239 I'm positive the query will be resolved soon. Do keep us posted for further help. Appreciate your patience. ^AK,2017-11-25 13:16:24+00:00,2017-11-25 13:38:25+00:00,140,119
128754,128743,128744,@AmazonHelp Signing into my account is about 1% of my problem,"@144964 Hey, the link provided in the previous message doesn't requure you to sign in. You can use it to reach out. ^RS",2017-11-24 06:14:12+00:00,2017-11-24 06:28:28+00:00,61,119
1153737,1153727,1153729,"@AmazonHelp Ahora fueron unos vinilos, unos blurays y un juego de Switch",@220842 ¡Vinilos! ❤ ¿Cuáles tienes? ^DA,2017-10-24 18:08:36+00:00,2017-10-24 18:15:03+00:00,72,39
1261833,1261817,1261815,@AmazonHelp Spero non accada la stessa cosa di Fifa18..arrivato tre giorni in ritardo...,@415585 L'ordine sarà spedito in tempo per essere consegnato domani. Avevi segnalato il ritardo di Fifa 18 al nostro Servizio Clienti? ^EA,2017-10-26 10:36:29+00:00,2017-10-26 10:43:55+00:00,88,138
2390370,2390438,2390439,@AmazonHelp I was last advised they would give me £5 goodwill on my account and that they would try and get the item to me by yesterday at 8pm. I knew there was no guarantee of this. It should be here today according to the updates on my account that were added without my consent.,@688588 Sorry to hear of the delay with your order. Has there been an update to the tracking today?: https://t.co/aaDyEz1VgE ^ES,2017-11-14 09:52:52+00:00,2017-11-14 09:59:28+00:00,281,128
2747145,2747141,2747143,"@AmazonHelp We have been promised a call back 3 TIMES. Still no call back and no cat flap. Your service sucks. NOT COOL...unlike our cat who is very cool, freezing cold in fact.",@178258 I'm sorry for the delay! I have reached out for an update and we thank you for your continued patience. ^MW,2017-11-28 13:52:34+00:00,2017-11-28 14:23:32+00:00,177,115
2924575,2924570,2924576,"@AmazonHelp This has been very frustrating. I don't even care that much! An hour of my life dealing with this isn't worth the $40 I would have saved. But now I'm down the rabbit hole and want to understand why @115821, which is usually great, has a misleading #CyberMonday2017 non-sale.",@809253 Thank you for bringing this to our attention. I've escalated this to our Amazon Video team. ^LR,2017-11-29 03:05:51+00:00,2017-11-29 03:44:33+00:00,286,103
2434587,2434600,2434603,"@AmazonHelp We can have patience if delivery is delayed by you after guaranteed dlvry.
But can you return order if we get it by someone else.",@502527 Apologies for the trouble with the delivery of the order. This being social media platform we don't have access to ^AK (1/2),2017-10-30 10:59:51+00:00,2017-10-30 11:20:31+00:00,141,132
2401457,2401460,2401461,"@AmazonHelp It has issues like heating up fast , fingerprint sensor, getting restart by it self",@690937 Apologies for the trouble. Kindly drop in your details here: https://t.co/GIJyeYqKE0 &amp; we'll look into this right away. ^RB,2017-10-29 10:06:12+00:00,2017-10-29 10:30:32+00:00,95,135
954937,954936,954938,"@AmazonHelp So, if some already bought it before I deleted the item off the wishlist, will I still receive the item?","@346578 If the item has already been purchased and shipped to your location, the item would still be in transit. ^WM",2017-10-21 21:29:53+00:00,2017-10-21 21:33:00+00:00,116,116
2722192,2722196,2722197,@AmazonHelp Wenn ihr mir noch sagt unter welche Kategorie das fallen soll? ;),"@125875 Nimm gern ""Fragen zur allgemeinen Nutzung"" oder ""App funktioniert nicht wie erwartet"". ^MF",2017-11-26 23:37:02+00:00,2017-11-26 23:42:25+00:00,77,98
2287653,2287644,2287642,"@AmazonHelp Done, such delays/ issues not expected keeping in mind the amounts I have been spending on purchases from Amazon India.",@664655 Thanks for confirming. We will get back to you at the earliest possible. ^JS,2017-11-10 17:30:49+00:00,2017-11-10 17:46:25+00:00,131,84
382358,382356,382355,"@AmazonHelp It now says expected between 26-30th Oct. But it's for tomorrow evening, so what can I do to ensure I have it in time? Ordered with prime!",@206649 Sorry to hear of the delay. It may arrive between now and 30th. ^MC,2017-10-27 10:47:29+00:00,2017-10-27 11:02:00+00:00,150,75
