tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
609,Delta,False,Sat Aug 06 01:44:03 +0000 2016,"@115818 Glad to check. Pls, DM your confirmation number for assistance.  *QB https://t.co/6iDGBJAc2m",610,611.0
790,Delta,False,Tue Oct 31 22:27:38 +0000 2017,@115882 I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT,791,792.0
793,Delta,False,Tue Oct 31 22:52:37 +0000 2017,"@115882 My apologies. If that flight never showed up on your search, that would mean it was full.  *TMT",,791.0
794,Delta,False,Tue Oct 31 22:25:31 +0000 2017,@115883 Please share additional details about the nature of this technical issue.  *AFC,795,796.0
797,Delta,False,Tue Oct 31 23:07:41 +0000 2017,@115883 Please do.  *AFC https://t.co/6iDGBJAc2m,798,795.0
799,Delta,False,Sun Oct 29 16:56:47 +0000 2017,"@115883 I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC","800,796",801.0
802,Delta,False,Tue Oct 31 22:23:07 +0000 2017,"@115884 Oh, no! Please speak to a member of the flt crew for immediate assistance. *AAB",,803.0
804,Delta,False,Tue Oct 31 22:22:01 +0000 2017,@115885 2/2 https://t.co/6iDGBJAc2m,"805,806",807.0
809,Delta,False,Tue Oct 31 19:21:13 +0000 2017,"@115885 Hello, Richard! Please DM your confirmation# and I will try to assist. *TCC",807,810.0
813,Delta,False,Tue Oct 31 18:42:21 +0000 2017,"@115885 Hi, Richard. Can you pls DM your confirmation number so I may look into this matter for you? Thanks! *TJF https://t.co/6iDGBJAc2m",811,814.0
808,Delta,False,Tue Oct 31 22:22:00 +0000 2017,"@115885 Hi Richard, I apologize for the delayed response time. Please DM your conf # so I can review your trip details.  *TLT... 1/2",,807.0
815,Delta,False,Tue Oct 31 22:15:15 +0000 2017,@115886 We sincerely apologize for your disappointment. We always strive to create a positive customer experience. *AJC,816,817.0
818,Delta,False,Tue Oct 31 22:51:06 +0000 2017,"@115886 Hi Caesar, can you DM your confirmation # to the link provided? I will be glad to look into this for you.   *TBT https://t.co/6iDGBJAc2m",819,816.0
820,Delta,False,Tue Oct 31 23:43:26 +0000 2017,@115886 I would be glad to look into this for you.  *TBT,821,819.0
822,Delta,False,Wed Nov 01 04:55:04 +0000 2017,@115886 Thanks for your patience. *HCK,,821.0
823,Delta,False,Wed Nov 01 04:49:19 +0000 2017,@115886 Thanks!  *HCK,,821.0
824,Delta,False,Wed Nov 01 05:29:28 +0000 2017,@115886 Thank you for being the most important part of Delta.  https://t.co/YfI5Cj9udk *HCK,,821.0
825,Delta,False,Wed Nov 01 05:28:54 +0000 2017,"@115886 I am including a link of our Commitment to our customers, please let us know if we can be of further assistance.  *HCK",,821.0
826,Delta,False,Wed Nov 01 05:28:45 +0000 2017,@115886 It can be difficult to assign the same seating because the aircraft configuration may be different.  *HCK,,821.0
827,Delta,False,Wed Nov 01 05:28:29 +0000 2017,@115886 ...possible. *HCK 2/2,,821.0
