tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
768,Uber_Support,False,Tue Oct 31 22:28:17 +0000 2017,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,"769,770",771.0
770,Uber_Support,False,Tue Oct 31 22:31:08 +0000 2017,@115872 We apologize for the trouble! Send us a DM with your email address and we'll connect.,,768.0
772,Uber_Support,False,Tue Oct 31 22:25:26 +0000 2017,"@115874 We're here to help! Send us a note here, https://t.co/WFtPA6RjWt and our team will be in touch.",,773.0
774,Uber_Support,False,Tue Oct 31 22:19:18 +0000 2017,"@115875 We’re here to help, Travis! Send us a note via https://t.co/dwDjAokZht and we'll be in touch.",,775.0
776,Uber_Support,False,Tue Oct 31 22:17:58 +0000 2017,@115876 For more info about UberEats availability click here; https://t.co/3A9YFZQFaF,,777.0
778,Uber_Support,False,Tue Oct 31 22:17:41 +0000 2017,@115878 We have received your DM and will follow up with you there.,779,780.0
781,Uber_Support,False,Tue Oct 31 21:49:36 +0000 2017,@115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?,780,782.0
783,Uber_Support,False,Tue Oct 31 22:15:25 +0000 2017,"@115880 We're sorry to hear this was your experience, Ray. Please contact us via https://t.co/aBEgvdNWQN and we'll be in touch.",,784.0
1792,Uber_Support,False,Tue Oct 31 22:41:33 +0000 2017,@116108 Here to help! Send us a note via https://t.co/xMxswVLBKT so our team can connect.,1793,1794.0
1795,Uber_Support,False,Tue Oct 31 23:49:04 +0000 2017,@116108 We're here to help! Send us a DM with your email address so we can follow up.,,1793.0
1796,Uber_Support,False,Tue Oct 31 22:40:29 +0000 2017,@116109 We have followed up via DM.,,1797.0
1798,Uber_Support,False,Tue Oct 31 22:37:04 +0000 2017,@116110 Here to help! Send us a note via https://t.co/1xM0TILvAI so our team can assist.,1799,1800.0
1801,Uber_Support,False,Tue Oct 31 22:36:51 +0000 2017,@116111 Here to help! Send us a note via https://t.co/zJ6aIZinzb so our team can connect.,1802,1803.0
1804,Uber_Support,False,Tue Oct 31 23:18:23 +0000 2017,@116111 We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,1805,1802.0
1806,Uber_Support,False,Tue Oct 31 22:34:31 +0000 2017,@116112 We're sorry to hear this was your experience. Send us a note via https://t.co/K05RdmK3t4 so we can assist.,,1807.0
1808,Uber_Support,False,Tue Oct 31 22:32:09 +0000 2017,@116113 Please DM us with your account email address and phone number so we can look into this. https://t.co/sd7yH5jmbJ,,1809.0
1810,Uber_Support,False,Tue Oct 31 21:55:48 +0000 2017,@116113 Sorry to hear this was your experience! Please send us a note at https://t.co/K05RdmK3t4 so we can connect right away.,"1811,1809",1812.0
1864,Uber_Support,False,Fri Dec 01 06:47:07 +0000 2017,@116127 Here to help! Please DM (direct message) us your email address so we can follow up. Thanks!,1865,1866.0
2096,Uber_Support,False,Fri Dec 01 06:46:09 +0000 2017,@116168 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,2097,2098.0
2099,Uber_Support,False,Fri Dec 01 12:15:57 +0000 2017,"@116168 Hi, Singh. Please send us a DM with your account email address and phone number so we can locate your account. Thanks for your patience.",,2097.0
2124,Uber_Support,False,Fri Dec 01 06:42:22 +0000 2017,@116175 Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.,,2125.0
2153,Uber_Support,False,Fri Dec 01 06:41:34 +0000 2017,@116186 We're here to help! Send us a DM with your email address and more details so we can follow up.,"2154,2155",2156.0
2402,Uber_Support,False,Wed Nov 01 03:26:41 +0000 2017,@116264 Here to help. Send us a note at https://t.co/ptj11JUNYu so our team can connect.,2403,2404.0
2405,Uber_Support,False,Sun Nov 26 00:26:53 +0000 2017,@116265 Happy to help! Please visit this link; https://t.co/qfimGYE4QO to know more about how to get a free food.,,2406.0
2407,Uber_Support,False,Sun Nov 26 00:26:53 +0000 2017,@116266 We're so sorry for the trouble. Send us a note via https://t.co/G6utFs8cUp so we can assist.,,2408.0
2409,Uber_Support,False,Sun Nov 26 00:26:50 +0000 2017,@116267 Here to help! Send us a note here https://t.co/fS660rQ8NQ so we can assist.,,2410.0
