conversation_id,customer_tweet_id,customer_message,clean_text
1000119,1000118,@AmazonHelp It's all good now 😊 I chatted in &amp; it turns out the tracking shows it was never delivered. Your rep = v helpful &amp; replacement is on its way,it s all good now i chatted in and it turns out the tracking shows it was never delivered your rep v helpful and replacement is on its way
1000133,1000132,"@AmazonHelp Order ID: 404-0496716-8940319
People, need to know about @115850 DUPLICATE product. You sold duplicate product.",order id 404 0496716 8940319 people need to know about duplicate product you sold duplicate product
1000133,1000138,"@AmazonHelp I already connected. Did live chat, you are ready for refund. people need to know the actual fact of @115850",i already connected did live chat you are ready for refund people need to know the actual fact of
1000133,1000136,@AmazonHelp I know it very well.,i know it very well
1000133,1061364,@AmazonHelp I don’t share order id. I sent email to original manufacture to confirm &amp; reply on above in email as screenshot.,i don t share order id i sent email to original manufacture to confirm and reply on above in email as screenshot
1000133,1061366,@AmazonHelp Ur help means refund :( But u'r reluctant to improve genuine and health consciousness.,ur help means refund but u r reluctant to improve genuine and health consciousness
1000133,1061368,@AmazonHelp What's the result till now except refund?,what s the result till now except refund
1000133,1061371,@AmazonHelp I replied in email,i replied in email
1000133,1061373,@AmazonHelp  https://t.co/61ftQbkn7w,
1000133,1061376,@AmazonHelp Why you don’t reveal the truth?,why you don t reveal the truth
1000133,1061378,@AmazonHelp Which is 1st preference? Public Helath or ur guideline?,which is 1st preference public helath or ur guideline
1000133,1061380,@AmazonHelp What is the result about the seller who sold DUPLICATE product? @115850,what is the result about the seller who sold duplicate product
1000189,1000188,@AmazonHelp Had been to service centre and closed on Saturday as well as Sunday . Will visit tomorrow and see..,had been to service centre and closed on saturday as well as sunday will visit tomorrow and see
1000195,1000194,"@AmazonHelp I was suppose to receive the order on Friday(Oct 20), but saw that it got delayed from Oct 20-24.",i was suppose to receive the order on friday oct 20 but saw that it got delayed from oct 20 24
1000981,1000980,"@AmazonHelp @356980 Hii amazon, i got a call from ur side n unfortunately missed it.. can u plss call back n let me know what was it call about...",hii amazon i got a call from ur side n unfortunately missed it can u plss call back n let me know what was it call about
1000989,1000988,@AmazonHelp Did thank you.  Just waiting on it to be delivered today now. https://t.co/CylX3EWlwa,did thank you just waiting on it to be delivered today now
1000989,1000992,@AmazonHelp Second call was just made.  Turns out it was never resent out today like promised.   Getting very upset,second call was just made turns out it was never resent out today like promised getting very upset
1000989,1000994,@AmazonHelp Amz US and date was yesterday by 9pm.  Spoke to logistics and waiting on response,amz us and date was yesterday by 9pm spoke to logistics and waiting on response
1000989,1000996,@AmazonHelp That’s what she did earlier but I’ll send again.,that s what she did earlier but i ll send again
1000989,1000998,@AmazonHelp Sent,sent
1001005,1001004,@AmazonHelp Done. Please request for help.,done please request for help
1001010,1001009,"@AmazonHelp Difference between 'best possible prices' and charging higher than MRP. And yes, that was quite a comment, which you shouldn't take lightly.",difference between best possible prices and charging higher than mrp and yes that was quite a comment which you shouldn t take lightly
1001010,1001013,@AmazonHelp Selling higher than the MRP is called cheating. Not a best deal. But then you are welcome to please yourself with your weak defence.,selling higher than the mrp is called cheating not a best deal but then you are welcome to please yourself with your weak defence
1001010,1001016,@AmazonHelp The fact is you still don't get it. You make it all sound so silly.,the fact is you still don t get it you make it all sound so silly
1001034,1001033,@AmazonHelp Thanks. Think I’ll just chance it. Frustrating as the route must be sorted so someone somewhere knows when it will arrive approx just not me,thanks think i ll just chance it frustrating as the route must be sorted so someone somewhere knows when it will arrive approx just not me
1001050,1001048,"@AmazonHelp I jus rcvd confrmtion from OP service centre &amp; dey confrmd its hardware issue hwevr ur app confirmed no issue, can u explain ?? https://t.co/84OrXjCovg",i jus rcvd confrmtion from op service centre and dey confrmd its hardware issue hwevr ur app confirmed no issue can u explain
1001050,1001052,"@AmazonHelp There u go i done that bt i am really nt happy with Amazon even if u replace d phn, u hv lost my trust. I wl nt buy phns from Amazon anymore",there u go i done that bt i am really nt happy with amazon even if u replace d phn u hv lost my trust i wl nt buy phns from amazon anymore
1001050,1001054,@AmazonHelp Plzz u dnt understand anything lets see how u handle this issue,plzz u dnt understand anything lets see how u handle this issue
1001050,1001056,"@AmazonHelp U r gvng rplcmnt n tkng my phn Mon n replacement device will b given 2 me by 29Nov ! Dis is d sheer example of bad cust service, luk into it https://t.co/vfV1MkyVqX",u r gvng rplcmnt n tkng my phn mon n replacement device will b given 2 me by 29nov dis is d sheer example of bad cust service luk into it
1001050,1001058,"@AmazonHelp I dnt hv spare phn, so please refund my money i made a mistake buying phn from Amazon, i.will mk sure not to repeate that mistake in future",i dnt hv spare phn so please refund my money i made a mistake buying phn from amazon i will mk sure not to repeate that mistake in future
1001073,1001072,"@AmazonHelp No error message just doesn't show in any download, either to Amazon Music player or PC. 3 albums show up in both but the 1 single track purchased does not",no error message just doesn t show in any download either to amazon music player or pc 3 albums show up in both but the 1 single track purchased does not
1001085,1001084,@AmazonHelp Pls tell the courier company to stop harassing me.,pls tell the courier company to stop harassing me
1001085,1001090,@AmazonHelp Not received any email. Pls stop harping about it! And enough of this harassment. If your courier guy calls once more you will get reported,not received any email pls stop harping about it and enough of this harassment if your courier guy calls once more you will get reported
1001085,1001088,@AmazonHelp Your US office has already extended help. You can keep sitting,your us office has already extended help you can keep sitting
1001096,1001094,"@AmazonHelp Contacted and mail also sent,response awaited.Pls do needful urgently.",contacted and mail also sent response awaited pls do needful urgently
1001103,1001102,@AmazonHelp This is for a US order,this is for a us order
1001112,1001110,@AmazonHelp Yes that worked! TY,yes that worked ty
1001961,1001960,@AmazonHelp Done,done
1001973,1001971,@AmazonHelp Three packages in a month is a problem not an accident anymore. AMZL US. Way. To. Go. 👏🏻👏🏻👏🏻👏🏻 it was for my wedding in a month too.,three packages in a month is a problem not an accident anymore amzl us way to go it was for my wedding in a month too
1001976,1001975,@AmazonHelp The tracking shows the courier could not find my address. Which is absolute rubbish. This has never happened before.,the tracking shows the courier could not find my address which is absolute rubbish this has never happened before
1001980,1001979,@AmazonHelp Just the regular website. I kind of expect Kindle Unlimited to appear in the dropdown filter.,just the regular website i kind of expect kindle unlimited to appear in the dropdown filter
1002576,1002566,@AmazonHelp Called support. They said they’ll ‘try’ to deliver today. Didn’t mention what time. Why do you guys guarantee 2-day dellivery if you cant?,called support they said they ll try to deliver today didn t mention what time why do you guys guarantee 2 day dellivery if you cant
1002576,1002569,"@AmazonHelp Sent DM of the agents number, call him and check where the package is.. else refund my extra amount!",sent dm of the agents number call him and check where the package is else refund my extra amount
1002576,1002571,"@AmazonHelp If I have to call you &amp; that agent + tweet constantly for my package bcos of the delay, what’s point of your ‘customer service’? #FAIL",if i have to call you and that agent tweet constantly for my package bcos of the delay what s point of your customer service fail
1002581,1002580,@AmazonHelp I have filled that form...Hoping to hear from ur side!,i have filled that form hoping to hear from ur side
1002581,1002583,@AmazonHelp I appreciate your prompt reply!,i appreciate your prompt reply
1002622,1002617,"@AmazonHelp @115850  there is no CANCEL ORDER tab in my app. How can i return the item for the refund, when I have not at all received it?",there is no cancel order tab in my app how can i return the item for the refund when i have not at all received it
1002622,1002616,"@AmazonHelp I did visit Contact Us, but der is no such tab which can resolve the issue. Only Order details
Return Order details. No address for collecti",i did visit contact us but der is no such tab which can resolve the issue only order details return order details no address for collecti
1002633,1002632,"@AmazonHelp That’s considerate; you guys haven’t missed the date, just eagerly awaiting the product so that I can start using it.

Thank you 👍🏻",that s considerate you guys haven t missed the date just eagerly awaiting the product so that i can start using it thank you
1002643,1544027,@AmazonHelp I filled up this @AmazonHelp,i filled up this
1002660,1002659,@AmazonHelp Still doesn't read my sd card even after re-installing the app.,still doesn t read my sd card even after re installing the app
1002660,1052142,@AmazonHelp Your app works fine. It's just that I can't download the content in the Sd card of my tablet. SD card is formatted as internal memory.,your app works fine it s just that i can t download the content in the sd card of my tablet sd card is formatted as internal memory
1002880,1002878,"@AmazonHelp Prime item ordered thurs “attempted delivery” fri but they didn’t as I was there 7am - 6pm, promised delivery yesterday and never happened",prime item ordered thurs attempted delivery fri but they didn t as i was there 7am 6pm promised delivery yesterday and never happened
1002880,1002882,@AmazonHelp I’m not paying again for product Ive already paid for on next day delivery. If you can’t deliver the First I don’t trust you to deliver no 2,i m not paying again for product ive already paid for on next day delivery if you can t deliver the first i don t trust you to deliver no 2
1002892,1002891,"@AmazonHelp I do not understand. I'm not asking for express delivery, it is a normal delivery per the seller!",i do not understand i m not asking for express delivery it is a normal delivery per the seller
1002899,1002898,"@AmazonHelp Able to place order, but then a few hours later I'm advised to 'Update My Payment Method'. My card is valid and has funds on it! Why?",able to place order but then a few hours later i m advised to update my payment method my card is valid and has funds on it why
1002899,1002895,"@AmazonHelp Did the chat thing yesterday, and spoke to Kendrick, who assured me it was sorted, and goods would be delivered today.",did the chat thing yesterday and spoke to kendrick who assured me it was sorted and goods would be delivered today
1002916,1002915,@AmazonHelp Awesome! I’m waiting!!,awesome i m waiting
1002922,1002921,"@AmazonHelp It was because I bought a UK Kindle book. It reset everything I had linked to my Echos, absolutely EVERYTHING. Sorted it now.",it was because i bought a uk kindle book it reset everything i had linked to my echos absolutely everything sorted it now
1003613,1003612,@AmazonHelp I appreciate a call back.Every concern need not be associated with any order number.My issue is all about a cash back which  am eligible for,i appreciate a call back every concern need not be associated with any order number my issue is all about a cash back which am eligible for
1003617,1003621,@AmazonHelp yes but they said ur product is at the hub and sry fr d delay hope u understnd ur customer issues n solve dem,yes but they said ur product is at the hub and sry fr d delay hope u understnd ur customer issues n solve dem
1003617,1108774,@AmazonHelp yes and its like a auto generated mail that v vl contct u n frm ur side no point of comm has been made,yes and its like a auto generated mail that v vl contct u n frm ur side no point of comm has been made
1003617,1300515,@AmazonHelp come on dear am i talkin to a pc ??,come on dear am i talkin to a pc
1003617,1300517,@AmazonHelp dear its been more than 2 days no contact has been made from amazon r u making fool,dear its been more than 2 days no contact has been made from amazon r u making fool
1003617,1300520,@AmazonHelp yes i shared the details yes yes yes,yes i shared the details yes yes yes
