tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
848,SpotifyCares,False,Tue Oct 31 22:28:16 +0000 2017,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,849,850.0
851,SpotifyCares,False,Tue Oct 31 23:39:03 +0000 2017,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,,849.0
852,SpotifyCares,False,Tue Oct 31 21:04:13 +0000 2017,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",850,853.0
854,SpotifyCares,False,Tue Oct 31 19:36:16 +0000 2017,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",853,855.0
856,SpotifyCares,False,Tue Oct 31 22:25:16 +0000 2017,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",857,858.0
859,SpotifyCares,False,Wed Nov 01 08:30:40 +0000 2017,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,,857.0
860,SpotifyCares,False,Tue Oct 31 21:51:22 +0000 2017,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,"861,858",862.0
863,SpotifyCares,False,Tue Oct 31 22:25:07 +0000 2017,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS",,864.0
865,SpotifyCares,False,Tue Oct 31 22:17:55 +0000 2017,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",864,866.0
1867,SpotifyCares,False,Tue Oct 31 22:42:29 +0000 2017,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",1868,1869.0
1871,SpotifyCares,False,Tue Oct 31 22:47:05 +0000 2017,"@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",1872,1870.0
1873,SpotifyCares,False,Tue Oct 31 22:53:34 +0000 2017,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",,1872.0
1874,SpotifyCares,False,Tue Oct 31 22:32:21 +0000 2017,@116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,1869,1875.0
1876,SpotifyCares,False,Tue Oct 31 22:33:32 +0000 2017,@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,1877,1878.0
1879,SpotifyCares,False,Tue Oct 31 23:27:02 +0000 2017,"@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH",,1877.0
1880,SpotifyCares,False,Tue Oct 31 23:26:54 +0000 2017,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",,1877.0
