tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1066,TMobileHelp,False,Tue Oct 31 22:28:46 +0000 2017,"@115910 Hey, Trevor! Send us a DM, and we'll take a closer look! *KellenF",,1067.0
1156,TMobileHelp,False,Tue Oct 31 22:24:01 +0000 2017,@115912 @115913 Thanks for getting that DM sent over - I've got it and am replying now. https://t.co/93XwcSKFIy *RayButler,,1157.0
1160,TMobileHelp,False,Tue Oct 31 22:23:40 +0000 2017,@115914 Yay for T-Mobile Tuesdays- lets's get you taken care of! Send a DM my way: https://t.co/jGtdfLsVbg *ErikaHoleman,,1161.0
1162,TMobileHelp,False,Tue Oct 31 22:22:53 +0000 2017,"@115915 Well, we'd be happy to take a look at that and see what's going on, Jenny. DM us, we're here to keep you connected. *JoanO",,1163.0
1164,TMobileHelp,False,Tue Oct 31 22:20:29 +0000 2017,@115916 Hey we are here and we want to help! If you have any questions feel free to shoot us a DM! *KatGrisham,,1165.0
1166,TMobileHelp,False,Tue Oct 31 22:18:29 +0000 2017,@115917 Can I have you DM me at: https://t.co/rYd2PDuSPi *RobFahl,,1167.0
1168,TMobileHelp,False,Tue Oct 31 21:49:44 +0000 2017,@115917 We want to help you with this great #TMobileTuesday deal! Shoot me a DM here https://t.co/jAb1JkOMRy  *AngieShaw,"1167,1169",1170.0
1171,TMobileHelp,False,Tue Oct 31 15:33:18 +0000 2017,@115918 You are welcome and thanks for letting us know. If you need anything else we are here for you. #HappyTMobileTuesday *KennethStone,1170,1172.0
1173,TMobileHelp,False,Tue Oct 31 14:30:29 +0000 2017,"@115918 We want this to work perfectly! Do you have at least 10 photos selected? If not, add another and try. DM w/ any questions! *ChrisBradstreet",1172,1174.0
1946,TMobileHelp,False,Tue Oct 31 22:43:07 +0000 2017,@116148 :o Creepy! Happy Halloween! *ArynH,,1947.0
1948,TMobileHelp,False,Tue Oct 31 22:42:48 +0000 2017,"@116149 No worries at all! I'll be able to help out 100%! Shoot me a DM, and I'll dive right in! *DannyHarvey",,1949.0
