tweet_id,created_at,text
218044,Wed Oct 04 22:28:37 +0000 2017,@115821 another day. Another package not delivered as expected. I'm out of patience for you. #WhatsThePointOfPrime?
318233,Sat Oct 07 09:59:57 +0000 2017,"@AmazonHelp @115830 delivery man:
""It'd be smart if you just have the keys so this doesn't happen"".... maybe follow directions."
537466,Sat Dec 02 13:51:53 +0000 2017,"@1141 @115821  https://t.co/luyUoTuQve
Pls run a quality check for the product you are selling on website as the vendor is selling at 1,555/- whilst the MRP is 1,250/- only."
169612,Fri Nov 24 21:18:16 +0000 2017,"@115821 STOP using LaserShip. Simply put, they suck."
440449,Wed Oct 25 17:23:13 +0000 2017,@AmazonHelp Vendedor gestionado por amazon. Con entrega asegurada.
205729,Thu Oct 12 00:11:52 +0000 2017,"@127390 @115821 @127390 is one of my favorite authors of all time, you don't understand how excited I was to have a signed copy of his book"
57436,Wed Nov 01 19:53:15 +0000 2017,@AmazonHelp Yeah it’s this https://t.co/H8nMUU538E
313817,Sat Oct 07 05:24:27 +0000 2017,@190936 @AmazonHelp plz muje phone  kare muje bahut  tweet aata nahi
331565,Sat Oct 07 19:04:08 +0000 2017,@AmazonHelp @AmazonHelp
33273,Wed Nov 01 12:57:34 +0000 2017,Got a notification from @115821 that my package was delivered 2 my neighbour even tho I'm sat @ home waiting...neighbour didn't receive it?!
394044,Mon Oct 09 17:03:59 +0000 2017,"After sitting at home all day waiting for my phone I get this email from @115850 @AmazonHelp @115851 
How much can you guys lie man! https://t.co/KGQ1wEx5Xk"
43742,Sat Nov 25 19:38:39 +0000 2017,"@115821 I ordered $100 visa gift card on Nov 19th using prime membership, whose delivery date was 21st and since then I am waiting for my product. When I am calling at amazon they are either transferring my call or giving me false promises. I want answer. SHAMEFUL"
399103,Sun Oct 29 06:03:03 +0000 2017,"@115850 
Account page showing order out for delivery yesterday by 10am &amp; still I didn't receive my package ?
R u fooling customers ? https://t.co/dZSf2cEmgF"
111960,Thu Nov 23 21:16:28 +0000 2017,@AmazonHelp Thanks :)
450702,Fri Dec 01 15:31:29 +0000 2017,"@AmazonHelp thanks for the speedy response. I clicked on the link, completed &amp; submitted the form last night &amp; don't see any emails yet"
435137,Tue Oct 10 16:14:21 +0000 2017,#AppTreasurehunt @115850 utter disappointment.Unexpected from you.should hve been transparent terms dat hunt is only for prime members
124695,Fri Nov 24 02:22:10 +0000 2017,"@AmazonHelp OK, gracias por las respuestas."
181228,Sat Nov 25 01:42:17 +0000 2017,アマゾンでソファ頼んだのにこないよ
103848,Thu Nov 23 16:30:29 +0000 2017,"@AmazonHelp C'est étrange car au début c'est écrit :
""Nous sommes ravis de vous rappeler que vous bénéficiez de Prime Vidéo grâce à votre abonnement Amazon Prime .."""
163516,Fri Nov 24 19:19:17 +0000 2017,@AmazonHelp again my package came with the wrong quantity. The replacement that was sent to me was again 1 pillow and not the set of 4 as advertised. 3 orders in a row with the wrong quantity.
101828,Wed Nov 15 10:11:46 +0000 2017,Watch Arjun Reddy &amp; other Latest Telugu Movies only on Amazon Prime Video. Install the App to watch #ArjunReddy https://t.co/Rcc238lvDv
96644,Thu Nov 30 17:04:01 +0000 2017,@AmazonHelp Nah don't worry mate all sorted but thanks anyway appreciate it
282785,Tue Oct 10 09:23:30 +0000 2017,"@AmazonHelp @115851 @AmazonHelp 

do something boss   you are just cheating https://t.co/C2A6D9HL7I"
448287,Thu Nov 30 20:21:02 +0000 2017,"@AmazonHelp De nada, Vendido por Amazon EU S.a.r.L.."
122044,Thu Nov 23 23:52:24 +0000 2017,¡Qué bello comprar por @116875! 👑
530083,Sat Dec 02 10:38:42 +0000 2017,@AmazonHelp Website. I didn’t dare to logout from the mobile application my amazon Id __email__
316347,Sat Oct 07 07:40:36 +0000 2017,Hallo @116316 ich wohne in Berlin und nicht Graben????
474271,Fri Dec 01 10:31:00 +0000 2017,"@AmazonHelp Will do.

Thanks for listening - hopefully there is change or progress made."
299570,Fri Oct 06 19:51:28 +0000 2017,"@AmazonHelp Cela suffit ! 2 mois, chaque semaine on me dit dans 5 jours, toujours aucune réponse, je vais aller me plaindre là ou il le faut !!"
260364,Thu Oct 05 21:21:19 +0000 2017,"@115821 Update the ""natural disaster"" was my dogs🙄"
524252,Sat Dec 02 05:06:57 +0000 2017,Amazonのプライム会員になってしまった https://t.co/gVCT8PHDeX
236220,Thu Oct 05 16:16:05 +0000 2017,@AmazonHelp How would I know? All I got was an email from AMZN Customer Service. I honestly don't think it ever was resent.
319689,Sat Oct 07 11:24:07 +0000 2017,"@AmazonHelp Hi Amazon Team,

i think you fooled customer. my money is not refunded till now order number ORDER # 408-3374910-5745107 one plus 5. why?"
367910,Sun Oct 08 21:19:50 +0000 2017,@AmazonHelp Online chat rep told me i simply had to wait. He ignored the fact the courier are fraudulently claiming successful delivery/signature. When I protested he eventually gave a replacement for two items and refund for one other. Very poor service.
181318,Sat Nov 25 03:43:47 +0000 2017,"@AmazonHelp Dear Algorithm, yes I did. That’s how I know you will be blocking my account for five hours. Duh."
71061,Thu Nov 23 05:19:06 +0000 2017,"@AmazonHelp (´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)日本語専門のAmazon helpあれば・・・！！

そんな事よりご丁寧にありがとうございます、まさかここまで丁寧だと恐縮です꒰꒪꒫꒪⌯꒱"
446760,Thu Nov 30 19:33:53 +0000 2017,@AmazonHelp I have Prime so I was supposed to receive my package yesterday and I kept tracking and nothing has changed up to now when I go online to try and track it it says they are unable to locate it.
282432,Fri Oct 06 12:28:45 +0000 2017,@AmazonHelp Ok cool thank you
287387,Fri Oct 06 15:08:31 +0000 2017,Le carton est légèrement trop petit pour son contenu... 😤 @120533 https://t.co/tepXdWR6eh
335228,Sun Oct 08 19:29:55 +0000 2017,@AmazonHelp can only change to £79 pound a year not £5 a month have you stopped this subscription?
167919,Fri Nov 24 21:22:43 +0000 2017,"@AmazonHelp Muchísimas gracias, lo haré, buen fin de semana"
318207,Sat Oct 07 09:57:11 +0000 2017,". @115830: we’re sorry Mr Bradford your parcel will be there by 10am tomorrow &amp; I’ll call you back at 10am personally.

10.56am...nothing"
439815,Wed Oct 11 10:23:43 +0000 2017,@AmazonHelp Yeah got it thanks hahaha
494824,Fri Dec 01 17:51:01 +0000 2017,Se supone hoy es el último día para que me llegue mi pedido @115821 así que de verdad espero llegue poruqe ya se ha retrasado
167976,Fri Nov 24 20:51:12 +0000 2017,"So, today's @115821 courier decided to throw a LiPo battery up the stairs instead of walking. Thankfully the seller knew how stupid couriers can be sometimes. We're charging now to make sure it's not damaged for sure though."
497246,Fri Dec 01 18:50:02 +0000 2017,@AmazonHelp I just got off the phone from one of your ‘customer service’ reps who could not help me in ANY way! #nodelivery #deliveryliar #nohelp #whynotjustdeliver #lairs
183291,Thu Oct 05 12:42:25 +0000 2017,"@AmazonHelp Thanx guyzz refund initiated by time,also promoting u on my youtube channel👍🏻"
286779,Sat Oct 07 05:29:18 +0000 2017,@AmazonHelp this is taking me to orders page. what do you want to do thr. Why can't u directly contact me. Pathetic process
231576,Thu Oct 05 11:07:41 +0000 2017,@AmazonHelp Thanks! :)
403962,Mon Oct 09 20:29:06 +0000 2017,"@211619 @115821 @115817 I wouldnt if i did standard shipping, i did ONE DAY and still nothing and this shit was supposed to come 2 days ago LMAO"
124813,Fri Nov 24 22:54:44 +0000 2017,@AmazonHelp Done that via email. Pls check ☒ and solve @AmazonHelp
546498,Sat Dec 02 17:44:30 +0000 2017,@AmazonHelp Several have been. I am tired of having to spend time with customer service on this issue.
234800,Thu Oct 05 14:12:35 +0000 2017,"@AmazonHelp I returned an item via @149473 , your customer executive​ thinks I have sent a doctored recipient as return charges are very high"
9810,Wed Nov 01 00:12:14 +0000 2017,@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z
439286,Wed Oct 11 08:39:59 +0000 2017,"@AmazonHelp Why shd I contact?You hv got my order id,why cant you take action? Worst is i can't  see d delivery persons contact in app. Shame@amazonIN"
313895,Sat Oct 07 05:53:29 +0000 2017,@AmazonHelp I have already send a photo of order invoice
352357,Sun Oct 08 13:08:31 +0000 2017,"@AmazonHelp very bad experience from your end. Just want refund. I'm just about to go for consumer forum. Bcz this is shit.
I paid 51k."
371865,Thu Oct 05 04:00:06 +0000 2017,A savage new Moto phone for more savage snaps and selfies. Keep those eyes peeled for the Moto G5s Plus. https://t.co/6O6FTwDiVk
417864,Tue Oct 10 03:58:29 +0000 2017,@AmazonHelp 画面は変わりませんが先ほど受け取れましたので、問題ありません。配送日を本日にしていたのですが、表示が違っていたという現象でした。ツイート対応お疲れ様です。ありがとうございます(^_^)
318899,Sat Oct 07 10:48:23 +0000 2017,"@AmazonHelp Ordered lgQ6 
Camara quality is so dumb very bad..touch is very sticky.. and some more issue.. today technichian came he also agree with dis"
268158,Fri Oct 06 00:43:02 +0000 2017,@AmazonHelp Meanwhile the live event you're broadcasting is unavailable. Seems pretty shitty to me. Thanks ^CL!
340536,Sun Oct 08 00:21:56 +0000 2017,"@AmazonHelp first time using Amazon, but i ordered something and it was supposed to arrive today but it still not here??"
540902,Sat Dec 02 15:13:27 +0000 2017,"Not seen mum so mad in years. PS4 out for delivery on Thurs been waiting in house 3 days w/signs on door saying ‘we’re in, please knock loudly &amp; call mobile’  etc &amp; yday they ‘attempted delivery’ &amp; today delivered U2 VINYL COLLECTION insult to injury OR WHAT ??? @115830 a joke? https://t.co/A5Uk1qOi2u"
11600,Wed Nov 01 00:48:43 +0000 2017,#Halloween #goldenretriever #dogs #puppy @115821 6 month old service dog Halloween https://t.co/WOoQOFCXiM
93545,Thu Nov 30 15:52:55 +0000 2017,"@AmazonHelp It happens for a variety of reasons. Sometimes it the carriers fault, other times the item sells out after I buy it, but my order gets held up instead."
197714,Wed Oct 04 14:13:41 +0000 2017,AMAZON IN INDIA Deliver Damage good to there customer This is the tracking I.D. 216230107345 with following items:
447227,Thu Nov 30 19:50:34 +0000 2017,"@AmazonHelp Vendeurs tiers avant : Elec Tomorrow
Maintenant : RH Mobiles

De plus je ne vois nul part (avant la validation de mon panier) les frais de port pris en compte"
537491,Sun Dec 03 03:55:08 +0000 2017,@AmazonHelp Rep
467391,Fri Dec 01 05:23:43 +0000 2017,"@AmazonHelp Still not got refund.

PS now you are turning into Kejriwal party!"
147242,Fri Nov 24 14:32:36 +0000 2017,"@AmazonHelp Hola, me gustaría saber dónde puedo poner una queja para la empresa de transporte, siempre que me enviáis pedidos con Seur tengo problemas. Estoy esperando un pedido y me parece que voy a perder toda la tarde por estar pendiente porque no cumplen el horario que dicen"
