tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
785,Tesco,False,Tue Oct 31 22:18:58 +0000 2017,"@115881 Hi Cade, thanks so much for sending that over. I have sent an email to the Store Manager to look into this for you. 1/2",,786.0
788,Tesco,False,Tue Oct 31 19:47:00 +0000 2017,"@115881 Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? - Nick",786,789.0
1813,Tesco,False,Tue Oct 31 22:41:35 +0000 2017,"@116114 Hi there, I've replied to your DM about this. Apologies - Josh",,1814.0
1815,Tesco,False,Tue Oct 31 22:40:23 +0000 2017,"@116115 Hi James, would you be able to let me know how many bottles of lemonade were in stock at the time you were there? Thanks - Callum",,1816.0
1821,Tesco,False,Tue Oct 31 22:37:54 +0000 2017,@116117 Finally could you please send me the bottom most row of digits from your receipt. - Nick 3/3,1822,1823.0
1824,Tesco,False,Wed Nov 01 17:03:50 +0000 2017,"@116117 Hi Rhys, thanks for letting us know. I've log this feed back anonymously. Thanks, James.",,1822.0
1825,Tesco,False,Tue Oct 31 22:37:50 +0000 2017,"@116117 Hi Rhys, I'm really sorry you've not had a stellar time with our Mor range, I'd like to get an internal log of this 1/3",,1823.0
1827,Tesco,False,Tue Oct 31 22:36:27 +0000 2017,"@116118 The most appropriate action to take, is to ensure this is addressed with the colleague concerned. TY - Chris 2/2",1828,1829.0
1830,Tesco,False,Tue Oct 31 22:48:34 +0000 2017,"@116118 I am sorry to hear that Polly, however we would not offer a gesture for complaints of this nature. TY - Chris",,1828.0
1832,Tesco,False,Tue Oct 31 12:37:52 +0000 2017,"@116118 Are you able to send us your name, address &amp; email by DM please &amp; we will get back to you shortly - Mike 2/2",1829,1833.0
1831,Tesco,False,Tue Oct 31 22:35:52 +0000 2017,"@116118 Hi Polly, thank you for getting back to us, I have to be honest, giving a gesture is not going to resolve the issues. 1/2",,1829.0
2495,Tesco,False,Sun Nov 26 00:21:17 +0000 2017,"@116300 Hi James, oh dear! I can understand your concerns. Can you return the Cake Tin with your receipt to the store, my colleagues will be able to assist further. Ty - James",,2496.0
2497,Tesco,False,Sun Nov 26 00:19:55 +0000 2017,"@116301 Hi Mohammed, can you DM me with the store you visited, the time of your visit and the colleagues name or description you spoke with? Ty - James https://t.co/py5Z991Bme",,2498.0
2499,Tesco,False,Sat Nov 25 21:02:52 +0000 2017,"@116301 Hi Mohammed, I'd advise returning the product returning the Nappies with your delivery documents to your nearest Metro,Superstore or Extra. My colleagues there will be able to assist further. Ty - James",2498,2500.0
2501,Tesco,False,Thu Nov 23 12:00:04 +0000 2017,"@116301 In this case, we'd recommend trying a smaller size to see if that helps. I'm also sorry to learn of the leaking, can I just check that you're referring to the absorbency gel please? Can you DM your full name, address &amp; email please? 2/2",2500,2502.0
2504,Tesco,False,Sun Nov 26 00:08:41 +0000 2017,"@116302 @116303 Hi Benny, sorry for the delay in replying! They're available now for our Delivery Saver customers :) Thanks - Emma","2505,2506,2507,2508,2509,2510,2511,2512,2513",2514.0
2519,Tesco,False,Sun Nov 26 13:44:23 +0000 2017,"@116305 Hello Kerrie, we were very busy first thing this morning when the slots went live. Can you let me know if you managed to get on in the end? TY - Eilish",,2507.0
2520,Tesco,False,Sun Nov 26 13:42:23 +0000 2017,@116306 Hello Julia! Did you manage to get on the website in the end? TY - Eilish,2521,2509.0
2522,Tesco,False,Sun Nov 26 14:38:39 +0000 2017,@116306 Oh perfect! :) Thanks for letting me know! TY - Eilish,,2521.0
2526,Tesco,False,Sun Nov 26 12:25:06 +0000 2017,@116311 Hello Sarah! I'm so sorry about this! Did you manage to get online in the end? TY - Eilish,2527,2513.0
2528,Tesco,False,Mon Nov 27 14:10:47 +0000 2017,@116311 That's great Sarah :) did you get the slot you wanted? - Mike,2529,2527.0
2736,Tesco,False,Tue Oct 31 22:58:29 +0000 2017,"@116362 I'm very sorry about this, we don't intend to mislead our customers. Kind regard - Kirsten 2/2",,2737.0
2739,Tesco,False,Tue Oct 31 20:59:18 +0000 2017,"@116362 Hi Stephen, I have contacted the store and they have informed me that it is due to the 6 pack currently being half price. Thanks - Mark",2737,2740.0
2741,Tesco,False,Tue Oct 31 18:53:40 +0000 2017,"@116362 Hi Stephen, this is because the 6 pack of pies are currently half price at the moment whereas the 4 pack are not. Hope this helps. - Kirsten",2740,2742.0
2738,Tesco,False,Tue Oct 31 22:58:23 +0000 2017,"@116362 Hi Stephen, it could be that my colleague were unaware of the deal on the 6 pack when reducing the 4 to clear. 1/2","2743,2744,2745,2746",2737.0
2747,Tesco,False,Wed Nov 01 10:59:34 +0000 2017,"@116362 Hi Stephen, please be assured your feedback has been passed to the management team at our Haddington Superstore. TY - Joanne",,2744.0
2748,Tesco,False,Tue Oct 31 22:58:15 +0000 2017,"@116363 That's ok Kevin. If there is anything else I can help you with, please don't hesitate to contact me back. TY - Jayne",,2749.0
2750,Tesco,False,Tue Oct 31 22:50:51 +0000 2017,"@116363 Also the supplier code(SC), would it be ok to pass your details to our supplier? TY - Jayne 4/4",2749,2751.0
2755,Tesco,False,Tue Oct 31 22:56:42 +0000 2017,@116364 Please also include the use by and batch code. Would it be okay to pass your details onto our supplier? . TY - Struan 4/4,2756,2757.0
2758,Tesco,False,Wed Nov 01 07:33:36 +0000 2017,"@116364 Hi Sarah, yes of course. Photos would be perfect :) Ty - Darren",,2756.0
2759,Tesco,False,Tue Oct 31 22:56:38 +0000 2017,"@116364 Your Moneycard can be sent via email or by post, can you confirm which you’d prefer? 2/4",,2757.0
2762,Tesco,False,Tue Oct 31 22:54:33 +0000 2017,"@116365 Hi Rach, I'm glad to learn this has been resolved :) Ty - James",,2763.0
2764,Tesco,False,Tue Oct 31 07:31:22 +0000 2017,@116365 Oh no! I'm so sorry Rach :( Were you able to checkout okay after or would you like further assistance please? - Christie,2763,2765.0
2766,Tesco,False,Tue Oct 31 22:53:43 +0000 2017,@116366 Many thanks and kind regards! - Martin 4/4,,2767.0
