example_id,customer_message,intent,decision,reason
1,@AmazonHelp how can you refund back to an account that doesn't exist?!,REFUND,ESCALATE,Intent 'REFUND' may require account access or support action.
2,"@AmazonHelp Current status is On the Way, last location was last night @ 9:16pm at Royal Mail’s National Distribution Centre  : - https://t.co/YY2XiWaC6V",DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
3,@AmazonHelp The package was left at the house next door that is unoccupied. The driver gave it to a contractor working at the house. Had the seller not returned today who knows when i would have received it. That is unacceptable in my opinion and as a Prime member even more so.,DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
4,"@AmazonHelp Ben oui...plusieurs fois 
Sans résultats",PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
5,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,DELIVERY_INSTRUCTIONS,AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
6,@AmazonHelp Yes I have? Nobody left a card or anything. There wasn’t anyone home and you’ve put the status as “delivered to resident” ?? Where is my order?,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
7,@AmazonHelp Contacted... They have been giving false assurances and unhelpful,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
8,@AmazonHelp Ye the 24 of Dec with a 3-4 days shipping ... No problems 😁,DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
9,@AmazonHelp USPS,DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
10,"@AmazonHelp Spoke to customer services who told me it would be here by 9pm. It's now passed 9pm and still no sign. 2 days overdue now. Wtf are you playing at Amazon, yet again? Where can I put an official complaint in?",DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
11,"@AmazonHelp It's out for delivery as of 12:03, the carrier is you guys. I work from home and need lunch but I'd rather not miss the package. 

I'll risk it.",DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
12,@AmazonHelp Thank you.,RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
13,@AmazonHelp When it’s suppose to get here this week and I need it this week the money is already gone and idk if my order is coming or not,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
14,"@AmazonHelp Alors je dois pas être doué, mais je clique où pour faire une réclamation sur l'article en question ? https://t.co/nYF5QD3Fxe",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
15,"@AmazonHelp merci beaucoup, appel passé, problème résolu, merci de votre patience !",RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
16,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,ORDER_CANCELLATION,ESCALATE,Intent 'ORDER_CANCELLATION' may require account access or support action.
17,@AmazonHelp Issue is resolved and item is being redelivered,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
